txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785029260.288813522,4087653045,22,32,74,88,1,0,0,1,0,True,4087653067,5,1785029260.289552988,4076395545,4087653067,0,32,52,66,6,1785029260.295339319,4076395545,4087653067,54,32,106,120,129,0,5,0,1,True,54,5.786331,5786331,0.739466,406.886862,,,,False,False,,
1,0,8,1785029260.695700384,4087653067,22,32,74,88,1,1,0,1,0,True,4087653089,9,1785029260.696855736,4076395599,4087653089,0,32,52,66,10,1785029260.701175647,4076395599,4087653089,54,32,106,120,129,1,6,0,1,True,54,4.319911,4319911,1.155352,405.903206,400.361065,,,False,False,,
2,0,12,1785029261.101603590,4087653089,22,32,74,88,1,2,0,1,0,True,4087653111,13,1785029261.102103514,4076395653,4087653111,0,32,52,66,14,1785029261.106009385,4076395653,4087653111,54,32,106,120,129,2,7,0,1,True,54,3.905871,3905871,0.499924,30405.017700,400.427943,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 13,16,18,20",
3,0,22,1785029291.506621290,4087653111,22,32,74,88,1,0,0,1,0,True,4087653133,23,1785029291.507041928,4076395707,4087653133,0,32,52,66,24,1785029291.510916713,4076395707,4087653133,54,32,106,120,129,0,8,0,1,True,54,3.874785,3874785,0.420638,30004.834034,30400.611905,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 23,26,28",
4,0,30,1785029321.511455324,4087653133,22,32,74,88,1,1,0,1,0,True,4087653155,31,1785029321.512726650,4076395761,4087653155,0,32,52,66,32,1785029321.513835620,4076395761,4087653155,54,32,106,120,129,1,9,0,1,True,54,1.108970,1108970,1.271326,30002.950777,30000.538611,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 31,34,36",
5,0,38,1785029351.514406101,4087653155,22,32,74,88,1,2,0,1,0,True,4087653177,39,1785029351.514849093,4076395815,4087653177,0,32,52,66,40,1785029351.515989046,4076395815,4087653177,54,32,106,120,129,2,10,0,1,True,54,1.139953,1139953,0.442992,30002.133248,30000.570481,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 39,42,44",
6,0,46,1785029381.516539349,4087653177,22,32,74,88,1,3,0,1,0,True,4087653199,47,1785029381.517035210,4076395869,4087653199,0,32,52,66,48,1785029381.518125047,4076395869,4087653199,54,32,106,120,129,3,11,0,1,True,54,1.089837,1089837,0.495861,30002.141816,30000.550303,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 47,50,52",
7,0,54,1785029411.518681165,4087653199,22,32,74,88,1,4,0,1,0,True,4087653221,55,1785029411.519097354,4076395923,4087653221,0,32,52,66,56,1785029411.523826945,4076395923,4087653221,54,32,106,120,129,4,12,0,1,True,54,4.729591,4729591,0.416189,30005.721830,30000.556118,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 55,58,60",
8,0,62,1785029441.524402995,4087653221,22,32,74,88,1,5,0,1,0,True,4087653243,63,1785029441.524895501,4076395977,4087653243,0,32,52,66,64,1785029441.529435316,4076395977,4087653243,54,32,106,120,129,5,13,0,1,True,54,4.539815,4539815,0.492506,30005.587324,30000.576050,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 63,66,68",
9,0,70,1785029471.529990319,4087653243,22,32,74,88,1,6,0,1,0,True,4087653265,71,1785029471.530644687,4076396031,4087653265,0,32,52,66,72,1785029471.531783350,4076396031,4087653265,54,32,106,120,129,6,14,0,1,True,54,1.138663,1138663,0.654368,30002.316860,30000.555003,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 71,74,76",
10,0,78,1785029501.532307179,4087653265,22,32,74,88,1,7,0,1,0,True,4087653287,79,1785029501.532755749,4076396085,4087653287,0,32,52,66,80,1785029501.534827267,4076396085,4087653287,54,32,106,120,129,7,15,0,1,True,54,2.071518,2071518,0.448570,30003.098164,30000.523829,,,False,False,"multiple qualifying pure ACKs before the next READ: frames 79,82,84",
