unit,run,arm,operation,transactions,mean_ms,sample_sd_ms,sample_variance_ms2,median_ms,min_ms,max_ms,source,main_bin_width_ms,bin_origin_ms,edge_convention,overflow_cutoff_ms,transactions_in_overflow,percent_in_overflow,freedman_diaconis_main_ms,configured_CLRT_new_ms
arm total (main campaign),all 22 grouped runs,Timing OFF,READ,26400,2.799902,2.609171,6.807774390397,2.115965,1.013994,83.457947,campaign_v1/derived/transactions.csv,1.0,0.0,"finite bins [lo, hi); overflow [cutoff, inf)",15.0,108,0.409090909,0.186596,4.0
arm total (main campaign),all 22 grouped runs,Obfuscated,READ,26400,4.012374,0.627899,0.394257057771,3.999949,3.921986,57.182074,campaign_v1/derived/transactions.csv,1.0,0.0,"finite bins [lo, hi); overflow [cutoff, inf)",15.0,7,0.026515152,0.186596,4.0
