unit,run,arm,operation,transactions,mean_ms,sample_sd_ms,sample_variance_ms2,median_ms,min_ms,max_ms,source,zoom_bin_width_ms,zoom_window_ms,percent_of_arm_in_window,freedman_diaconis_zoom_ms,configured_CLRT_new_ms
arm total (main campaign),all 22 grouped runs,Timing OFF,READ,26400,2.799902,2.609171,6.807774390397,2.115965,1.013994,83.457947,campaign_v1/derived/transactions.csv,0.005,3.900 to 4.100,13.526515,0.000400388,4.0
arm total (main campaign),all 22 grouped runs,Obfuscated,READ,26400,4.012374,0.627899,0.394257057771,3.999949,3.921986,57.182074,campaign_v1/derived/transactions.csv,0.005,3.900 to 4.100,99.859848,0.000400388,4.0
