unit,run,arm,operation,transactions,mean_ms,sample_sd_ms,sample_variance_ms2,median_ms,min_ms,max_ms,source,main_bin_width_ms,bin_origin_ms,edge_convention,overflow_cutoff_ms,configured_CLRT_new_ms
arm total (main campaign),all 22 grouped runs,Timing OFF,READ,26400,2.799903,2.609171,6.807771066791,2.116,1.014,83.458,campaign_v1/derived/transactions.csv,1.0,0.0,"[lo, hi); topmost bin closed so the maximum is counted",none (full range),4.0
arm total (main campaign),all 22 grouped runs,Obfuscated,READ,26400,4.012374,0.627898,0.394256363365,4.0,3.922,57.182,campaign_v1/derived/transactions.csv,1.0,0.0,"[lo, hi); topmost bin closed so the maximum is counted",none (full range),4.0
