corpus,arm,operation,configured_target_C_ms,n,mean_ms,sample_variance_ms2,sample_sd_ms,median_ms,q1_ms,q3_ms,min_ms,max_ms,n_farther_than_tol_from_C,tol_ms,n_excluded_from_this_corpus
campaign_v1,Timing OFF,READ,4.0,26400,2.799902,6.80777439,2.609171,2.115965,1.137972,3.916025,1.013994,83.457947,20257,0.5,0
campaign_v1,Obfuscated,READ,4.0,26400,4.012374,0.394257058,0.627899,3.999949,3.997087,4.003048,3.921986,57.182074,36,0.5,0
final_read_sbo,Timing OFF,READ,4.0,999,1.880334,1.835745145,1.354897,1.272,1.189,2.2,1.058,12.275,997,0.5,2
final_read_sbo,Obfuscated,READ,4.0,599,4.007661,0.000491897,0.022179,4.001,3.998,4.005,3.967,4.098,0,0.5,2
