"# multi-CROB SBO highest-N sweep; config: OpenDNP3 rig 10.10.54.19(master)/10.10.54.158(outstation), db_size default, one SBO per N"
# Nmax=16 (last passing N); first_fail=17; Nmax not a universal DNP3 maximum
n,master_exit,task_completion,outstation_final_matches,analyze_pass,pass,select_link_frames,operate_link_frames,sbo_round_trip_sec,pcap,note
2,0,SUCCESS,True,True,True,1,1,0.0066,captures/sweep/multicrob_n2.pcapng,
16,0,SUCCESS,True,True,True,1,1,0.0137,captures/sweep/multicrob_n16.pcapng,
17,0,SUCCESS,False,False,False,1,,0.0078,captures/sweep/multicrob_n17.pcapng,"FAIL: ['OPERATE (G12V1) not found in request stream', 'OPERATE response (G12V1) not found in response stream', 'SELECT and OPERATE CROB lists differ', 'SELECT response does not carry 17 success (0x00) statuses: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]']"
16,0,SUCCESS,True,True,True,1,1,0.0127,captures/sweep/multicrob_n16.pcapng,Nmax repeat 1/3; 
16,0,SUCCESS,True,True,True,1,1,0.0136,captures/sweep/multicrob_n16.pcapng,Nmax repeat 2/3; 
16,0,SUCCESS,True,True,True,1,1,0.0135,captures/sweep/multicrob_n16.pcapng,Nmax repeat 3/3; 
