"# multi-CROB SBO highest-N sweep; config: OpenDNP3 rig 10.10.54.19(master)/10.10.54.158(outstation), db_size default, one SBO per N"
# Nmax=0 (last passing N); first_fail=1; Nmax not a universal DNP3 maximum
n,master_exit,task_completion,outstation_final_matches,analyze_pass,pass,select_link_frames,operate_link_frames,sbo_round_trip_sec,pcap,note
1,0,,False,True,False,1,1,,captures/sweep/multicrob_n1.pcapng,FAIL: see JSON
2,0,,False,True,False,1,1,,captures/sweep/multicrob_n2.pcapng,FAIL: see JSON
4,0,,False,True,False,1,1,,captures/sweep/multicrob_n4.pcapng,FAIL: see JSON
8,0,,False,True,False,1,1,,captures/sweep/multicrob_n8.pcapng,FAIL: see JSON
16,0,,False,True,False,1,1,,captures/sweep/multicrob_n16.pcapng,FAIL: see JSON
0,,,,,False,,,,,Nmax repeat 1/3; outstation not ready
0,,,,,False,,,,,Nmax repeat 2/3; outstation not ready
0,,,,,False,,,,,Nmax repeat 3/3; outstation not ready
