Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 15
  Number of stages for ingress table allocation: 15
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 15 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|  10   |   [ 9, 10 ]     |                           cond-156                           |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3437               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3403               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3517               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3408               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3446               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3488               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3475               |
|  10   |   [ 8, 10 ]     |                           cond-163                           |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3095               |
|  11   |   [ 8, 10 ]*    |                           cond-121                           |
|  11   |   [ 8, 10 ]*    |                           cond-128                           |
|  11   |   [ 8, 10 ]*    |                           cond-134                           |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3179               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3115               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3119               |
|  11   |   [ 8, 10 ]*    |                           cond-138                           |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3128               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3285               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3216               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3288               |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3307               |
|  11   |   [ 8, 10 ]*    |                           cond-139                           |
|  11   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3223               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3363               |
|  12   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3386               |
|  12   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3390               |
|  12   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3544               |
|  12   |   [ 8, 10 ]*    |             tbl_defense4_rrc_bor_sr_probe3544_0              |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3479               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3483               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3492               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3497               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3450               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3454               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3413               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3417               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3137               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3266               |
|  12   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3276               |
|  12   |   [ 9, 10 ]*    |             tbl_defense4_rrc_bor_sr_probe3276_0              |
|  13   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3329               |
|  13   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3333               |
|  13   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3354               |
|  13   |   [ 9, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3291               |
|  13   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3560               |
|  13   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3566               |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3300               |
|  13   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3348               |
|  13   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3335               |
|  13   |   [ 9, 11 ]*    |                       tbl_arm_clone_0                        |
