Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 14
  Number of stages for ingress table allocation: 14
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 14 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   9   |   [ 8, 10 ]     |                      tbl_to_resp_block                       |
|   9   |   [ 8, 10 ]     |                           cond-116                           |
|   9   |   [ 8, 10 ]     |                           cond-122                           |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3308             |
|   9   |   [ 8, 10 ]     |                         tbl_to_hold                          |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3323             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3314             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3154             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3145             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3499             |
|  10   |   [ 9, 10 ]     |                           cond-139                           |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3467             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3476             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3518             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3505             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3509             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3522             |
|  10   |   [ 9, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3480             |
|  10   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3486             |
|  10   |   [ 9, 11 ]     |                     tbl_to_resp_block_0                      |
|  10   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3484             |
|  10   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3529             |
|  11   |   [ 9, 11 ]     |                        tbl_to_block_1                        |
|  11   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3527             |
|  11   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3515             |
|  11   |   [ 9, 11 ]     |                        tbl_to_block_0                        |
|  11   |   [ 9, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3513             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3330             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3149             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3140             |
|  11   |   [ 8, 11 ]     |                           cond-126                           |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3388             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3411             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3415             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3394             |
|  11   |   [ 8, 11 ]     |                       tbl_arm_clone_0                        |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3396             |
|  11   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3404             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3361             |
|  12   |   [ 8, 11 ]*    |                        tbl_arm_clone                         |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3353             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3373             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3379             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3239             |
|  12   |   [ 8, 11 ]*    |                       tbl_to_resp_hold                       |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3289             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3300             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3299             |
|  12   |   [ 8, 11 ]*    |            tbl_defense4_twopipe_pipe0_probe3299_0            |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3254             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3255             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3168             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3171             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3547             |
|  13   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3597             |
|  13   |   [ 9, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3577             |
|  13   |   [ 9, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3578             |
|  13   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3574             |
|  13   |   [ 8, 11 ]*    |            tbl_defense4_twopipe_pipe0_probe3574_0            |
|  13   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3557             |
|  13   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3559             |
|  13   |   [ 10, 11 ]*   |             tbl_defense4_twopipe_pipe0_probe3607             |
|  13   |   [ 10, 11 ]*   |             tbl_defense4_twopipe_pipe0_probe3606             |
|  13   |   [ 10, 11 ]*   |             tbl_defense4_twopipe_pipe0_probe3605             |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 2 time(s), state = NOCC_TRY1
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 11
Invoking table placement without metadata initialization because container conflict-free table placement required 13 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-84                            |
|   0   |    [ 0, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2890             |
|   0   |    [ 0, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2896             |
|   0   |    [ 0, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2907             |
|   0   |    [ 0, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2876             |
|   0   |   [ 0, 10 ]     |                           cond-153                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3792             |
|   0   |   [ 0, 10 ]     |                           cond-155                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3803             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3809             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3812             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3798             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2806             |
|   1   |    [ 1, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2878             |
|   1   |    [ 1, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2881             |
|   1   |    [ 1, 2 ]     |             tbl_defense4_twopipe_pipe0_probe2884             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2943             |
|   1   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2810             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2941             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2942             |
|   1   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2816             |
|   1   |    [ 0, 4 ]     |                    Ingress.tbl_bor_params                    |
|   1   |   [ 1, 10 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |             tbl_defense4_twopipe_pipe0_probe2819             |
|   1   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3104             |
|   1   |   [ 0, 11 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
