Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 12
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 109
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3016              |
|   5   |    [ 5, 6 ]     |                           cond-117                           |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3024              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3025              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3026              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3021              |
|   6   |    [ 6, 6 ]     |             tbl_defense4_rrc_bor_unified12l3022              |
|   6   |    [ 5, 6 ]     |                    Ingress.tbl_txn_active                    |
|   7   |    [ 5, 6 ]*    |                   Ingress.tbl_state_decode                   |
|   7   |    [ 7, 7 ]     |                     Ingress.tbl_hold_ok                      |
|   8   |    [ 6, 7 ]*    |             tbl_defense4_rrc_bor_unified12l2978              |
|   8   |    [ 6, 8 ]     |             tbl_defense4_rrc_bor_unified12l2976              |
|   8   |    [ 6, 8 ]     |             tbl_defense4_rrc_bor_unified12l2969              |
|   8   |    [ 6, 8 ]     |             tbl_defense4_rrc_bor_unified12l2967              |
|   8   |    [ 8, 8 ]     |             tbl_defense4_rrc_bor_unified12l3030              |
|   8   |    [ 6, 9 ]     |             tbl_defense4_rrc_bor_unified12l2988              |
|   8   |    [ 6, 9 ]     |             tbl_defense4_rrc_bor_unified12l2994              |
|   9   |    [ 7, 8 ]*    |                   Ingress.tbl_tresp_expiry                   |
|   9   |    [ 7, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   9   |    [ 7, 9 ]     |             tbl_defense4_rrc_bor_unified12l3056              |
|  10   |    [ 9, 9 ]*    |                   Ingress.tbl_topj_expiry                    |
|  10   |   [ 9, 10 ]     |                           cond-124                           |
|  10   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3064              |
|  10   |   [ 9, 10 ]     |             tbl_defense4_rrc_bor_unified12l3065              |
|  10   |   [ 9, 10 ]     |                           cond-127                           |
