class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,289,3,1786665268.021633,1786665268.042140,1786665268.046146,4.005,45,28,28,0
ALL,defended,290,3,1786665268.051759,1786665268.072220,1786665268.076280,4.060,45,28,28,0
ALL,defended,291,3,1786665268.081846,1786665268.102736,1786665268.106742,4.005,45,28,28,0
ALL,defended,292,3,1786665268.112376,1786665268.132880,1786665268.136858,3.978,45,28,28,0
ALL,defended,293,3,1786665268.142490,1786665268.162994,1786665268.166995,4.000,45,28,28,0
ALL,defended,294,3,1786665268.172622,1786665268.193085,1786665268.197084,3.999,45,28,28,0
ALL,defended,295,3,1786665268.202727,1786665268.223576,1786665268.227577,4.000,45,28,28,0
ALL,defended,296,3,1786665268.233178,1786665268.253694,1786665268.257689,3.994,45,28,28,0
ALL,defended,297,3,1786665268.263334,1786665268.283848,1786665268.287841,3.993,45,28,28,0
ALL,defended,298,3,1786665268.293476,1786665268.313879,1786665268.318003,4.124,45,28,28,0
ALL,defended,299,3,1786665268.323542,1786665268.344543,1786665268.348555,4.012,45,28,28,0
ALL,defended,300,3,1786665268.354167,1786665268.374681,1786665268.378680,4.000,45,28,28,0
ALL,defended,301,3,1786665268.384339,1786665268.404847,1786665268.408851,4.004,45,28,28,0
ALL,defended,302,3,1786665268.414495,1786665268.436006,1786665268.440015,4.009,45,28,28,0
ALL,defended,303,3,1786665268.445641,1786665268.466113,1786665268.470173,4.059,45,28,28,0
ALL,defended,304,3,1786665268.475758,1786665268.496235,1786665268.500228,3.993,45,28,28,0
ALL,defended,305,3,1786665268.505837,1786665268.528733,1786665268.532735,4.001,45,28,28,0
ALL,defended,306,3,1786665268.538392,1786665268.558910,1786665268.562909,3.999,45,28,28,0
ALL,defended,307,3,1786665268.568534,1786665268.589003,1786665268.593000,3.997,45,28,28,0
ALL,defended,308,3,1786665268.598608,1786665268.619754,1786665268.623730,3.976,45,28,28,0
ALL,defended,309,3,1786665268.629358,1786665268.649845,1786665268.653846,4.001,45,28,28,0
ALL,defended,310,3,1786665268.659497,1786665268.679989,1786665268.683993,4.004,45,28,28,0
ALL,defended,311,3,1786665268.689614,1786665268.711105,1786665268.715100,3.995,45,28,28,0
ALL,defended,312,3,1786665268.720739,1786665268.741200,1786665268.745193,3.993,45,28,28,0
ALL,defended,313,3,1786665268.750799,1786665268.771256,1786665268.775259,4.003,45,28,28,0
ALL,defended,314,3,1786665268.780891,1786665268.801383,1786665268.805382,3.999,45,28,28,0
ALL,defended,315,3,1786665268.811005,1786665268.832121,1786665268.836113,3.993,45,28,28,0
ALL,defended,316,3,1786665268.841760,1786665268.862296,1786665268.866355,4.059,45,28,28,0
ALL,defended,317,3,1786665268.871909,1786665268.892419,1786665268.896424,4.005,45,28,28,0
ALL,defended,318,3,1786665268.902030,1786665268.922500,1786665268.926499,3.999,45,28,28,0
ALL,defended,319,3,1786665268.932121,1786665268.953054,1786665268.957049,3.995,45,28,28,0
ALL,defended,320,3,1786665268.962688,1786665268.983203,1786665268.987205,4.001,45,28,28,0
ALL,defended,321,3,1786665268.992824,1786665269.013339,1786665269.017399,4.060,45,28,28,0
ALL,defended,322,3,1786665269.022969,1786665269.044532,1786665269.048534,4.002,45,28,28,0
ALL,defended,323,3,1786665269.054159,1786665269.074632,1786665269.078627,3.995,45,28,28,0
ALL,defended,324,3,1786665269.084246,1786665269.104694,1786665269.108729,4.034,45,28,28,0
ALL,defended,325,3,1786665269.114366,1786665269.134870,1786665269.138870,4.001,45,28,28,0
ALL,defended,326,3,1786665269.144511,1786665269.165600,1786665269.169602,4.002,45,28,28,0
ALL,defended,327,3,1786665269.175227,1786665269.195731,1786665269.199727,3.996,45,28,28,0
ALL,defended,328,3,1786665269.205371,1786665269.225880,1786665269.229881,4.001,45,28,28,0
ALL,defended,329,3,1786665269.235509,1786665269.256928,1786665269.260992,4.064,45,28,28,0
ALL,defended,330,3,1786665269.266558,1786665269.287046,1786665269.291045,3.999,45,28,28,0
ALL,defended,331,3,1786665269.296655,1786665269.317161,1786665269.321160,3.999,45,28,28,0
ALL,defended,332,3,1786665269.326793,1786665269.347306,1786665269.351301,3.995,45,28,28,0
ALL,defended,333,3,1786665269.356924,1786665269.378186,1786665269.382185,3.999,45,28,28,0
ALL,defended,334,3,1786665269.387811,1786665269.408316,1786665269.412369,4.054,45,28,28,0
ALL,defended,335,3,1786665269.417919,1786665269.438439,1786665269.442414,3.975,45,28,28,0
ALL,defended,336,3,1786665269.448033,1786665269.468476,1786665269.472489,4.013,45,28,28,0
ALL,defended,337,3,1786665269.478096,1786665269.499017,1786665269.503026,4.009,45,28,28,0
ALL,defended,338,3,1786665269.508650,1786665269.529160,1786665269.533162,4.002,45,28,28,0
ALL,defended,339,3,1786665269.538789,1786665269.559307,1786665269.563304,3.997,45,28,28,0
ALL,defended,340,3,1786665269.568928,1786665269.590364,1786665269.594365,4.001,45,28,28,0
ALL,defended,341,3,1786665269.599990,1786665269.620497,1786665269.624494,3.997,45,28,28,0
ALL,defended,342,3,1786665269.630114,1786665269.650618,1786665269.654623,4.005,45,28,28,0
ALL,defended,343,3,1786665269.660236,1786665269.683776,1786665269.687773,3.997,45,28,28,0
ALL,defended,344,3,1786665269.693394,1786665269.713850,1786665269.717864,4.013,45,28,28,0
ALL,defended,345,3,1786665269.723503,1786665269.745004,1786665269.749006,4.001,45,28,28,0
ALL,defended,346,3,1786665269.754621,1786665269.775124,1786665269.779126,4.002,45,28,28,0
ALL,defended,347,3,1786665269.784745,1786665269.805244,1786665269.809303,4.059,45,28,28,0
ALL,defended,348,3,1786665269.814864,1786665269.836330,1786665269.840338,4.009,45,28,28,0
ALL,defended,349,3,1786665269.845959,1786665269.866430,1786665269.870427,3.997,45,28,28,0
ALL,defended,350,3,1786665269.876031,1786665269.896543,1786665269.900543,4.000,45,28,28,0
ALL,defended,351,3,1786665269.906147,1786665269.926670,1786665269.930670,4.001,45,28,28,0
ALL,defended,352,3,1786665269.936295,1786665269.957516,1786665269.961565,4.049,45,28,28,0
ALL,defended,353,3,1786665269.967137,1786665269.987649,1786665269.991644,3.994,45,28,28,0
ALL,defended,354,3,1786665269.997288,1786665270.017805,1786665270.021809,4.004,45,28,28,0
ALL,defended,355,3,1786665270.027444,1786665270.048879,1786665270.052862,3.983,45,28,28,0
ALL,defended,356,3,1786665270.058516,1786665270.078985,1786665270.082980,3.995,45,28,28,0
ALL,defended,357,3,1786665270.088607,1786665270.109115,1786665270.113118,4.003,45,28,28,0
ALL,defended,358,3,1786665270.118754,1786665270.139267,1786665270.143265,3.998,45,28,28,0
ALL,defended,359,3,1786665270.148885,1786665270.170116,1786665270.174092,3.976,45,28,28,0
ALL,defended,360,3,1786665270.179698,1786665270.200222,1786665270.204202,3.980,45,28,28,0
ALL,defended,361,3,1786665270.209822,1786665270.230331,1786665270.234330,3.999,45,28,28,0
ALL,defended,362,3,1786665270.239947,1786665270.260412,1786665270.264389,3.977,45,28,28,0
ALL,defended,363,3,1786665270.270000,1786665270.290928,1786665270.294927,3.999,45,28,28,0
ALL,defended,364,3,1786665270.300550,1786665270.321026,1786665270.325026,3.999,45,28,28,0
ALL,defended,365,3,1786665270.330633,1786665270.351095,1786665270.355150,4.055,45,28,28,0
ALL,defended,366,3,1786665270.360748,1786665270.381220,1786665270.385216,3.996,45,28,28,0
ALL,defended,367,3,1786665270.390830,1786665270.411857,1786665270.415858,4.000,45,28,28,0
ALL,defended,368,3,1786665270.421497,1786665270.442009,1786665270.446016,4.007,45,28,28,0
ALL,defended,369,3,1786665270.451640,1786665270.472132,1786665270.476155,4.023,45,28,28,0
ALL,defended,370,3,1786665270.481782,1786665270.503287,1786665270.507345,4.058,45,28,28,0
ALL,defended,371,3,1786665270.512908,1786665270.533382,1786665270.537384,4.002,45,28,28,0
ALL,defended,372,3,1786665270.543048,1786665270.563518,1786665270.567520,4.002,45,28,28,0
ALL,defended,373,3,1786665270.573141,1786665270.593647,1786665270.597645,3.998,45,28,28,0
ALL,defended,374,3,1786665270.603255,1786665270.624365,1786665270.628372,4.007,45,28,28,0
ALL,defended,375,3,1786665270.634000,1786665270.654519,1786665270.658518,3.999,45,28,28,0
ALL,defended,376,3,1786665270.664140,1786665270.684723,1786665270.688716,3.993,45,28,28,0
ALL,defended,377,3,1786665270.694361,1786665270.715793,1786665270.719784,3.991,45,28,28,0
ALL,defended,378,3,1786665270.725429,1786665270.745889,1786665270.749940,4.051,45,28,28,0
ALL,defended,379,3,1786665270.755512,1786665270.776022,1786665270.780020,3.998,45,28,28,0
ALL,defended,380,3,1786665270.785647,1786665270.806151,1786665270.810149,3.998,45,28,28,0
ALL,defended,381,3,1786665270.815775,1786665270.838848,1786665270.842842,3.994,45,28,28,0
ALL,defended,382,3,1786665270.848496,1786665270.868964,1786665270.872963,3.999,45,28,28,0
ALL,defended,383,3,1786665270.878587,1786665270.899620,1786665270.903675,4.055,45,28,28,0
ALL,defended,384,3,1786665270.909241,1786665270.929865,1786665270.933866,4.001,45,28,28,0
ALL,defended,385,3,1786665270.939510,1786665270.960043,1786665270.964052,4.009,45,28,28,0
ALL,defended,386,3,1786665270.969690,1786665270.991155,1786665270.995160,4.004,45,28,28,0
ALL,defended,387,3,1786665271.000771,1786665271.021279,1786665271.025260,3.981,45,28,28,0
ALL,defended,388,3,1786665271.030844,1786665271.051304,1786665271.055305,4.002,45,28,28,0
ALL,defended,389,3,1786665271.060923,1786665271.081380,1786665271.085389,4.009,45,28,28,0
ALL,defended,390,3,1786665271.090973,1786665271.112088,1786665271.116079,3.991,45,28,28,0
ALL,defended,391,3,1786665271.121735,1786665271.142244,1786665271.146242,3.998,45,28,28,0
ALL,defended,392,3,1786665271.151876,1786665271.172372,1786665271.176371,3.999,45,28,28,0
ALL,defended,393,3,1786665271.181987,1786665271.203414,1786665271.207412,3.999,45,28,28,0
ALL,defended,394,3,1786665271.213019,1786665271.233522,1786665271.237519,3.998,45,28,28,0
ALL,defended,395,3,1786665271.243132,1786665271.263644,1786665271.267637,3.994,45,28,28,0
ALL,defended,396,3,1786665271.273281,1786665271.293785,1786665271.297843,4.057,45,28,28,0
ALL,defended,397,3,1786665271.303436,1786665271.324658,1786665271.328665,4.006,45,28,28,0
ALL,defended,398,3,1786665271.334307,1786665271.354806,1786665271.358811,4.005,45,28,28,0
ALL,defended,399,3,1786665271.364458,1786665271.384979,1786665271.388975,3.996,45,28,28,0
ALL,defended,400,3,1786665271.394600,1786665271.416032,1786665271.420032,4.001,45,28,28,0
ALL,defended,401,3,1786665271.425667,1786665271.446138,1786665271.450198,4.060,45,28,28,0
ALL,defended,402,3,1786665271.455757,1786665271.476270,1786665271.480276,4.006,45,28,28,0
ALL,defended,403,3,1786665271.485873,1786665271.506366,1786665271.510368,4.002,45,28,28,0
ALL,defended,404,3,1786665271.515942,1786665271.537241,1786665271.541241,4.000,45,28,28,0
ALL,defended,405,3,1786665271.546865,1786665271.567367,1786665271.571368,4.002,45,28,28,0
ALL,defended,406,3,1786665271.576998,1786665271.597507,1786665271.601506,3.999,45,28,28,0
ALL,defended,407,3,1786665271.607122,1786665271.627588,1786665271.631588,4.000,45,28,28,0
ALL,defended,408,3,1786665271.637197,1786665271.658042,1786665271.662044,4.002,45,28,28,0
ALL,defended,409,3,1786665271.667697,1786665271.688201,1786665271.692256,4.056,45,28,28,0
ALL,defended,410,3,1786665271.697827,1786665271.718336,1786665271.722342,4.006,45,28,28,0
ALL,defended,411,3,1786665271.727970,1786665271.748436,1786665271.752437,4.001,45,28,28,0
ALL,defended,412,3,1786665271.758042,1786665271.778968,1786665271.782962,3.994,45,28,28,0
ALL,defended,413,3,1786665271.788587,1786665271.809099,1786665271.813090,3.991,45,28,28,0
ALL,defended,414,3,1786665271.818733,1786665271.839237,1786665271.843291,4.054,45,28,28,0
ALL,defended,415,3,1786665271.848862,1786665271.870335,1786665271.874333,3.998,45,28,28,0
ALL,defended,416,3,1786665271.879938,1786665271.900422,1786665271.904399,3.978,45,28,28,0
ALL,defended,417,3,1786665271.910026,1786665271.930538,1786665271.934538,3.999,45,28,28,0
ALL,defended,418,3,1786665271.940153,1786665271.960643,1786665271.964667,4.024,45,28,28,0
ALL,defended,419,3,1786665271.970250,1786665271.993845,1786665271.997844,3.999,45,28,28,0
ALL,defended,420,3,1786665272.003466,1786665272.024885,1786665272.028892,4.007,45,28,28,0
ALL,defended,421,3,1786665272.034508,1786665272.055006,1786665272.059008,4.002,45,28,28,0
ALL,defended,422,3,1786665272.064631,1786665272.085130,1786665272.089127,3.997,45,28,28,0
ALL,defended,423,3,1786665272.094750,1786665272.115219,1786665272.119219,3.999,45,28,28,0
ALL,defended,424,3,1786665272.124841,1786665272.145790,1786665272.149786,3.997,45,28,28,0
ALL,defended,425,3,1786665272.155423,1786665272.175892,1786665272.179919,4.027,45,28,28,0
ALL,defended,426,3,1786665272.185528,1786665272.206017,1786665272.210020,4.004,45,28,28,0
ALL,defended,427,3,1786665272.215638,1786665272.236105,1786665272.240165,4.060,45,28,28,0
ALL,defended,428,3,1786665272.245744,1786665272.266578,1786665272.270581,4.004,45,28,28,0
ALL,defended,429,3,1786665272.276203,1786665272.296679,1786665272.300702,4.023,45,28,28,0
ALL,defended,430,3,1786665272.306351,1786665272.326829,1786665272.330859,4.030,45,28,28,0
ALL,defended,431,3,1786665272.336484,1786665272.356946,1786665272.360948,4.002,45,28,28,0
ALL,defended,432,3,1786665272.366574,1786665272.387515,1786665272.391567,4.052,45,28,28,0
ALL,defended,433,3,1786665272.397136,1786665272.417648,1786665272.421647,3.998,45,28,28,0
ALL,defended,434,3,1786665272.427258,1786665272.447793,1786665272.451785,3.993,45,28,28,0
ALL,defended,435,3,1786665272.457421,1786665272.478894,1786665272.482889,3.995,45,28,28,0
ALL,defended,436,3,1786665272.488503,1786665272.508973,1786665272.512973,4.000,45,28,28,0
ALL,defended,437,3,1786665272.518593,1786665272.539109,1786665272.543111,4.002,45,28,28,0
ALL,defended,438,3,1786665272.548751,1786665272.569261,1786665272.573258,3.998,45,28,28,0
ALL,defended,439,3,1786665272.578864,1786665272.600029,1786665272.604031,4.002,45,28,28,0
ALL,defended,440,3,1786665272.609620,1786665272.630094,1786665272.634124,4.030,45,28,28,0
ALL,defended,441,3,1786665272.639755,1786665272.660263,1786665272.664262,3.998,45,28,28,0
ALL,defended,442,3,1786665272.669878,1786665272.690338,1786665272.694340,4.002,45,28,28,0
ALL,defended,443,3,1786665272.699943,1786665272.720937,1786665272.724936,4.000,45,28,28,0
ALL,defended,444,3,1786665272.730552,1786665272.751062,1786665272.755059,3.996,45,28,28,0
ALL,defended,445,3,1786665272.760676,1786665272.781184,1786665272.785234,4.050,45,28,28,0
ALL,defended,446,3,1786665272.790807,1786665272.811274,1786665272.815276,4.002,45,28,28,0
ALL,defended,447,3,1786665272.820902,1786665272.841769,1786665272.845772,4.003,45,28,28,0
ALL,defended,448,3,1786665272.851408,1786665272.871911,1786665272.875917,4.006,45,28,28,0
ALL,defended,449,3,1786665272.881544,1786665272.902054,1786665272.906055,4.001,45,28,28,0
ALL,defended,450,3,1786665272.911715,1786665272.933148,1786665272.937201,4.052,45,28,28,0
ALL,defended,451,3,1786665272.942750,1786665272.963267,1786665272.967263,3.996,45,28,28,0
ALL,defended,452,3,1786665272.972887,1786665272.993410,1786665272.997404,3.994,45,28,28,0
ALL,defended,453,3,1786665273.003013,1786665273.023532,1786665273.027532,4.000,45,28,28,0
ALL,defended,454,3,1786665273.033155,1786665273.054405,1786665273.058404,3.998,45,28,28,0
ALL,defended,455,3,1786665273.064029,1786665273.084602,1786665273.088595,3.993,45,28,28,0
ALL,defended,456,3,1786665273.094218,1786665273.114707,1786665273.118730,4.023,45,28,28,0
ALL,defended,457,3,1786665273.124367,1786665273.148878,1786665273.152874,3.996,45,28,28,0
ALL,defended,458,3,1786665273.158508,1786665273.179427,1786665273.183476,4.049,45,28,28,0
ALL,defended,459,3,1786665273.189022,1786665273.209675,1786665273.213645,3.970,45,28,28,0
ALL,defended,460,3,1786665273.219280,1786665273.239900,1786665273.243901,4.001,45,28,28,0
ALL,defended,461,3,1786665273.249525,1786665273.271032,1786665273.275032,4.000,45,28,28,0
ALL,defended,462,3,1786665273.280679,1786665273.301176,1786665273.305176,4.000,45,28,28,0
ALL,defended,463,3,1786665273.310789,1786665273.331245,1786665273.335303,4.058,45,28,28,0
ALL,defended,464,3,1786665273.340873,1786665273.361320,1786665273.365320,4.000,45,28,28,0
ALL,defended,465,3,1786665273.370981,1786665273.391978,1786665273.395980,4.002,45,28,28,0
ALL,defended,466,3,1786665273.401583,1786665273.422092,1786665273.426098,4.006,45,28,28,0
ALL,defended,467,3,1786665273.431748,1786665273.452262,1786665273.456260,3.998,45,28,28,0
ALL,defended,468,3,1786665273.461877,1786665273.482349,1786665273.486356,4.007,45,28,28,0
ALL,defended,469,3,1786665273.491969,1786665273.512865,1786665273.516886,4.022,45,28,28,0
ALL,defended,470,3,1786665273.522505,1786665273.543013,1786665273.547008,3.995,45,28,28,0
ALL,defended,471,3,1786665273.552613,1786665273.573133,1786665273.577110,3.977,45,28,28,0
ALL,defended,472,3,1786665273.582732,1786665273.603187,1786665273.607191,4.004,45,28,28,0
ALL,defended,473,3,1786665273.612815,1786665273.633706,1786665273.637702,3.995,45,28,28,0
ALL,defended,474,3,1786665273.643352,1786665273.663856,1786665273.667856,3.999,45,28,28,0
ALL,defended,475,3,1786665273.673502,1786665273.694009,1786665273.698010,4.001,45,28,28,0
ALL,defended,476,3,1786665273.703616,1786665273.724086,1786665273.728138,4.052,45,28,28,0
ALL,defended,477,3,1786665273.733742,1786665273.754622,1786665273.758621,4.000,45,28,28,0
ALL,defended,478,3,1786665273.764239,1786665273.784813,1786665273.788809,3.997,45,28,28,0
ALL,defended,479,3,1786665273.794440,1786665273.814945,1786665273.818942,3.997,45,28,28,0
ALL,defended,480,3,1786665273.824567,1786665273.846072,1786665273.850078,4.005,45,28,28,0
ALL,defended,481,3,1786665273.855730,1786665273.876192,1786665273.880247,4.056,45,28,28,0
ALL,defended,482,3,1786665273.885820,1786665273.906287,1786665273.910292,4.005,45,28,28,0
ALL,defended,483,3,1786665273.915912,1786665273.936428,1786665273.940430,4.002,45,28,28,0
ALL,defended,484,3,1786665273.946018,1786665273.967173,1786665273.971173,4.001,45,28,28,0
ALL,defended,485,3,1786665273.976796,1786665273.997306,1786665274.001307,4.001,45,28,28,0
ALL,defended,486,3,1786665274.006920,1786665274.027407,1786665274.031429,4.022,45,28,28,0
ALL,defended,487,3,1786665274.037045,1786665274.057507,1786665274.061507,4.000,45,28,28,0
ALL,defended,488,3,1786665274.067120,1786665274.088066,1786665274.092061,3.995,45,28,28,0
ALL,defended,489,3,1786665274.097697,1786665274.118197,1786665274.122254,4.057,45,28,28,0
ALL,defended,490,3,1786665274.127826,1786665274.148333,1786665274.152331,3.999,45,28,28,0
ALL,defended,491,3,1786665274.157960,1786665274.178424,1786665274.182394,3.970,45,28,28,0
ALL,defended,492,3,1786665274.188013,1786665274.208892,1786665274.212893,4.001,45,28,28,0
ALL,defended,493,3,1786665274.218511,1786665274.239017,1786665274.243018,4.001,45,28,28,0
ALL,defended,494,3,1786665274.248640,1786665274.269151,1786665274.273202,4.050,45,28,28,0
ALL,defended,495,3,1786665274.278764,1786665274.299237,1786665274.303219,3.983,45,28,28,0
ALL,defended,496,3,1786665274.308828,1786665274.329822,1786665274.333821,3.999,45,28,28,0
ALL,defended,497,3,1786665274.339481,1786665274.359989,1786665274.363987,3.998,45,28,28,0
ALL,defended,498,3,1786665274.369606,1786665274.390118,1786665274.394113,3.995,45,28,28,0
ALL,defended,499,3,1786665274.399741,1786665274.421212,1786665274.425208,3.996,45,28,28,0
ALL,defended,500,3,1786665274.430835,1786665274.451313,1786665274.455309,3.997,45,28,28,0
