class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,67,3,1786665261.269037,1786665261.289539,1786665261.293537,3.997,45,28,28,0
ALL,defended,68,3,1786665261.299142,1786665261.319654,1786665261.323658,4.004,45,28,28,0
ALL,defended,69,3,1786665261.329288,1786665261.350513,1786665261.354542,4.029,45,28,28,0
ALL,defended,70,3,1786665261.360171,1786665261.380680,1786665261.384681,4.002,45,28,28,0
ALL,defended,71,3,1786665261.390329,1786665261.410840,1786665261.414840,3.999,45,28,28,0
ALL,defended,72,3,1786665261.420473,1786665261.441988,1786665261.445990,4.001,45,28,28,0
ALL,defended,73,3,1786665261.451612,1786665261.472079,1786665261.476081,4.002,45,28,28,0
ALL,defended,74,3,1786665261.481743,1786665261.502210,1786665261.506211,4.001,45,28,28,0
ALL,defended,75,3,1786665261.511841,1786665261.532357,1786665261.536355,3.998,45,28,28,0
ALL,defended,76,3,1786665261.541981,1786665261.563048,1786665261.567097,4.050,45,28,28,0
ALL,defended,77,3,1786665261.572681,1786665261.593192,1786665261.597183,3.991,45,28,28,0
ALL,defended,78,3,1786665261.602798,1786665261.623304,1786665261.627304,4.000,45,28,28,0
ALL,defended,79,3,1786665261.632929,1786665261.653397,1786665261.657395,3.999,45,28,28,0
ALL,defended,80,3,1786665261.663008,1786665261.683956,1786665261.687957,4.001,45,28,28,0
ALL,defended,81,3,1786665261.693581,1786665261.714093,1786665261.718138,4.045,45,28,28,0
ALL,defended,82,3,1786665261.723743,1786665261.744329,1786665261.748341,4.012,45,28,28,0
ALL,defended,83,3,1786665261.753957,1786665261.775480,1786665261.779485,4.004,45,28,28,0
ALL,defended,84,3,1786665261.785104,1786665261.808905,1786665261.812939,4.034,45,28,28,0
ALL,defended,85,3,1786665261.818565,1786665261.839073,1786665261.843077,4.004,45,28,28,0
ALL,defended,86,3,1786665261.848740,1786665261.869399,1786665261.873404,4.004,45,28,28,0
ALL,defended,87,3,1786665261.879034,1786665261.900653,1786665261.904653,3.999,45,28,28,0
ALL,defended,88,3,1786665261.910300,1786665261.930816,1786665261.934816,3.999,45,28,28,0
ALL,defended,89,3,1786665261.940422,1786665261.960937,1786665261.964991,4.054,45,28,28,0
ALL,defended,90,3,1786665261.970548,1786665261.991020,1786665261.994997,3.976,45,28,28,0
