feature_set,arm,balanced_accuracy_mean,balanced_accuracy_sd,mutual_information_mean_bits,mutual_information_sd_bits
CLRT only,native,0.6511,0.0299,0.26581,0.01765
CLRT only,obfuscated,0.3333,0.0,0.00726,0.0092
CLRT + ACK + RT,native,0.7464,0.0216,0.58236,0.02908
CLRT + ACK + RT,obfuscated,0.655,0.0158,0.57413,0.03589
