Subscribe attempt #1
Subscribe response received 0
Binding with p4_name queue_microbench
Binding with p4_name queue_microbench successful!!
Received queue_microbench on GetForwarding on client 23, device 0
sec  in_pps  DEQ_pps(shaped128)  use_cells
  1   79972       0  24234
  2  149952       0  24234
  3  149938     441  24234
  4  149802       0  24234
  5  149579       0  24234
  6  150098       0  24234
  7  149815     441  24234
  8  149802       0  24234
  9  150300       0  24234
 10  149866       0  24234
 11  150384       0  24234
 12  150350     441  24234
 13  149841       0  24234
 14  150134       0  24234
 15  149752       0  24234
 16  150312     441  24234
 17  149516       0  24234
 18  149495       0  24234
 19  150010       0  24234
 20  149846     441  24234
 21  150022       0  24234
DEQ_pps: median=0 min=0 max=441 mean=105  (n=21 samples)
