class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,native,76,1,1786665216.962516,1786665216.963220,1786665216.964378,1.158,20,0
ALL,native,77,1,1786665216.964703,1786665216.966302,1786665216.967523,1.220,20,0
ALL,native,78,1,1786665216.967808,1786665216.968555,1786665216.970711,2.156,20,0
ALL,native,79,1,1786665216.971039,1786665216.971631,1786665216.972837,1.206,20,0
ALL,native,80,1,1786665216.973166,1786665216.978920,1786665216.980157,1.236,20,0
ALL,native,81,1,1786665216.980493,1786665216.981012,1786665216.988363,7.351,20,0
ALL,native,82,1,1786665216.988646,1786665216.989279,1786665216.991435,2.155,20,0
ALL,native,83,1,1786665216.991769,1786665216.992405,1786665216.999522,7.117,20,0
ALL,native,84,1,1786665216.999800,1786665217.000428,1786665217.001671,1.243,20,0
ALL,native,85,1,1786665217.002006,1786665217.003687,1786665217.004837,1.150,20,0
ALL,native,86,1,1786665217.005172,1786665217.005799,1786665217.007950,2.151,20,0
ALL,native,87,1,1786665217.008307,1786665217.008920,1786665217.014247,5.327,20,0
ALL,native,88,1,1786665217.014580,1786665217.016219,1786665217.017362,1.143,20,0
ALL,native,89,1,1786665217.017698,1786665217.018382,1786665217.020561,2.179,20,0
ALL,native,90,1,1786665217.020841,1786665217.021467,1786665217.022644,1.177,20,0
ALL,native,91,1,1786665217.022980,1786665217.024671,1786665217.025863,1.192,20,0
ALL,native,92,1,1786665217.026147,1786665217.026745,1786665217.034102,7.357,20,0
ALL,native,93,1,1786665217.034465,1786665217.035068,1786665217.037227,2.159,20,0
ALL,native,94,1,1786665217.037564,1786665217.038240,1786665217.039407,1.167,20,0
ALL,native,95,1,1786665217.039733,1786665217.041318,1786665217.042497,1.179,20,0
ALL,native,96,1,1786665217.042826,1786665217.043506,1786665217.045630,2.125,20,0
ALL,native,97,1,1786665217.045960,1786665217.046561,1786665217.047719,1.158,20,0
ALL,native,98,1,1786665217.048045,1786665217.049658,1786665217.050840,1.182,20,0
ALL,native,99,1,1786665217.051194,1786665217.051768,1786665217.059264,7.496,20,0
ALL,native,100,1,1786665217.059551,1786665217.060065,1786665217.062282,2.217,20,0
ALL,native,101,1,1786665217.062623,1786665217.063306,1786665217.064465,1.159,20,0
ALL,native,102,1,1786665217.064799,1786665217.066319,1786665217.067545,1.227,20,0
ALL,native,103,1,1786665217.067880,1786665217.068424,1786665217.070661,2.238,20,0
ALL,native,104,1,1786665217.070996,1786665217.071528,1786665217.072755,1.227,20,0
ALL,native,105,1,1786665217.073090,1786665217.074658,1786665217.075870,1.212,20,0
ALL,native,106,1,1786665217.076203,1786665217.076734,1786665217.084243,7.509,20,0
ALL,native,107,1,1786665217.084577,1786665217.085260,1786665217.087510,2.250,20,0
ALL,native,108,1,1786665217.087793,1786665217.088575,1786665217.090768,2.193,20,0
ALL,native,109,1,1786665217.091103,1786665217.091675,1786665217.092875,1.201,20,0
ALL,native,110,1,1786665217.093213,1786665217.094824,1786665217.095997,1.173,20,0
ALL,native,111,1,1786665217.096351,1786665217.096961,1786665217.103391,6.430,20,0
ALL,native,112,1,1786665217.103727,1786665217.104343,1786665217.105510,1.167,20,0
ALL,native,113,1,1786665217.105844,1786665217.107497,1786665217.113707,6.210,20,0
ALL,native,114,1,1786665217.114039,1786665217.115690,1786665217.116830,1.140,20,0
ALL,native,115,1,1786665217.117157,1786665217.117797,1786665217.124860,7.063,20,0
ALL,native,116,1,1786665217.125187,1786665217.125787,1786665217.126988,1.201,20,0
ALL,native,117,1,1786665217.127334,1786665217.128817,1786665217.130055,1.238,20,0
ALL,native,118,1,1786665217.130406,1786665217.130973,1786665217.138205,7.232,20,0
ALL,native,119,1,1786665217.138533,1786665217.139160,1786665217.141329,2.169,20,0
ALL,native,120,1,1786665217.141659,1786665217.142230,1786665217.149390,7.159,20,0
ALL,native,121,1,1786665217.149666,1786665217.150300,1786665217.151541,1.242,20,0
ALL,native,122,1,1786665217.151879,1786665217.153465,1786665217.154657,1.192,20,0
ALL,native,123,1,1786665217.154990,1786665217.155576,1786665217.157776,2.200,20,0
ALL,native,124,1,1786665217.158113,1786665217.162809,1786665217.170074,7.266,20,0
ALL,native,125,1,1786665217.170438,1786665217.170973,1786665217.172242,1.269,20,0
ALL,native,126,1,1786665217.172525,1786665217.174192,1786665217.175335,1.143,20,0
ALL,native,127,1,1786665217.175669,1786665217.176298,1786665217.188382,12.084,20,0
ALL,native,128,1,1786665217.188718,1786665217.189272,1786665217.191520,2.248,20,0
ALL,native,129,1,1786665217.191853,1786665217.192398,1786665217.203739,11.342,20,0
ALL,native,130,1,1786665217.204078,1786665217.204659,1786665217.205862,1.202,20,0
ALL,native,131,1,1786665217.206195,1786665217.207806,1786665217.220081,12.275,20,0
ALL,native,132,1,1786665217.220387,1786665217.220958,1786665217.222113,1.155,20,0
ALL,native,133,1,1786665217.222462,1786665217.224147,1786665217.225299,1.151,20,0
ALL,native,134,1,1786665217.225631,1786665217.226247,1786665217.233375,7.128,20,0
ALL,native,135,1,1786665217.233705,1786665217.234287,1786665217.236508,2.222,20,0
ALL,native,136,1,1786665217.236790,1786665217.237392,1786665217.242171,4.779,20,0
ALL,native,137,1,1786665217.242500,1786665217.243129,1786665217.245328,2.199,20,0
ALL,native,138,1,1786665217.245656,1786665217.246236,1786665217.247485,1.250,20,0
ALL,native,139,1,1786665217.247813,1786665217.249487,1786665217.250668,1.181,20,0
ALL,native,140,1,1786665217.250997,1786665217.251576,1786665217.253895,2.319,20,0
ALL,native,141,1,1786665217.254230,1786665217.254857,1786665217.256015,1.158,20,0
ALL,native,142,1,1786665217.256415,1786665217.257996,1786665217.259133,1.137,20,0
ALL,native,143,1,1786665217.259483,1786665217.260042,1786665217.262266,2.224,20,0
ALL,native,144,1,1786665217.262549,1786665217.267386,1786665217.268713,1.327,20,0
ALL,native,145,1,1786665217.269049,1786665217.270555,1786665217.271808,1.253,20,0
ALL,native,146,1,1786665217.272143,1786665217.272722,1786665217.274951,2.229,20,0
ALL,native,147,1,1786665217.275320,1786665217.275811,1786665217.277082,1.271,20,0
ALL,native,148,1,1786665217.277436,1786665217.278917,1786665217.280190,1.273,20,0
