class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,defended,74,1,1786665333.049883,1786665333.070553,1786665333.074551,3.999,20,0
ALL,defended,75,1,1786665333.074885,1786665333.095552,1786665333.099555,4.003,20,0
ALL,defended,76,1,1786665333.099887,1786665333.120565,1786665333.124564,3.999,20,0
ALL,defended,77,1,1786665333.124898,1786665333.145578,1786665333.149576,3.998,20,0
ALL,defended,78,1,1786665333.149909,1786665333.170592,1786665333.174651,4.058,20,0
ALL,defended,79,1,1786665333.174936,1786665333.195556,1786665333.199580,4.024,20,0
ALL,defended,80,1,1786665333.199914,1786665333.220585,1786665333.224590,4.005,20,0
ALL,defended,81,1,1786665333.224929,1786665333.245587,1786665333.249592,4.005,20,0
ALL,defended,82,1,1786665333.249929,1786665333.270590,1786665333.274589,3.999,20,0
ALL,defended,83,1,1786665333.274927,1786665333.295588,1786665333.299567,3.979,20,0
ALL,defended,84,1,1786665333.299907,1786665333.320570,1786665333.324549,3.979,20,0
ALL,defended,85,1,1786665333.324889,1786665333.345559,1786665333.349567,4.008,20,0
ALL,defended,86,1,1786665333.349907,1786665333.370570,1786665333.374624,4.055,20,0
ALL,defended,87,1,1786665333.374911,1786665333.395578,1786665333.399571,3.994,20,0
ALL,defended,88,1,1786665333.399913,1786665333.420634,1786665333.424611,3.978,20,0
ALL,defended,89,1,1786665333.424969,1786665333.445574,1786665333.449601,4.027,20,0
ALL,defended,90,1,1786665333.449940,1786665333.470594,1786665333.474597,4.003,20,0
ALL,defended,91,1,1786665333.474931,1786665333.495579,1786665333.499672,4.092,20,0
ALL,defended,92,1,1786665333.499954,1786665333.520624,1786665333.524624,4.000,20,0
ALL,defended,93,1,1786665333.524961,1786665333.545648,1786665333.549652,4.004,20,0
ALL,defended,94,1,1786665333.549983,1786665333.570661,1786665333.574658,3.997,20,0
ALL,defended,95,1,1786665333.574989,1786665333.595666,1786665333.599671,4.006,20,0
ALL,defended,96,1,1786665333.600003,1786665333.620673,1786665333.624692,4.018,20,0
ALL,defended,97,1,1786665333.625025,1786665333.645700,1786665333.649704,4.004,20,0
ALL,defended,98,1,1786665333.650036,1786665333.670714,1786665333.674721,4.006,20,0
ALL,defended,99,1,1786665333.675072,1786665333.695722,1786665333.699785,4.064,20,0
ALL,defended,100,1,1786665333.700070,1786665333.720721,1786665333.724725,4.004,20,0
ALL,defended,101,1,1786665333.725065,1786665333.745734,1786665333.749728,3.994,20,0
ALL,defended,102,1,1786665333.750072,1786665333.770738,1786665333.774734,3.996,20,0
ALL,defended,103,1,1786665333.775075,1786665333.795737,1786665333.799736,4.000,20,0
ALL,defended,104,1,1786665333.800075,1786665333.820741,1786665333.824799,4.058,20,0
ALL,defended,105,1,1786665333.825083,1786665333.845748,1786665333.849751,4.003,20,0
ALL,defended,106,1,1786665333.850091,1786665333.870751,1786665333.874754,4.003,20,0
ALL,defended,107,1,1786665333.875095,1786665333.895748,1786665333.899752,4.004,20,0
ALL,defended,108,1,1786665333.900090,1786665333.920742,1786665333.924749,4.007,20,0
ALL,defended,109,1,1786665333.925092,1786665333.945812,1786665333.949810,3.998,20,0
ALL,defended,110,1,1786665333.950152,1786665333.970781,1786665333.974811,4.029,20,0
ALL,defended,111,1,1786665333.975147,1786665333.995787,1786665333.999804,4.016,20,0
ALL,defended,112,1,1786665334.000142,1786665334.020802,1786665334.024804,4.002,20,0
ALL,defended,113,1,1786665334.025139,1786665334.045816,1786665334.049814,3.998,20,0
ALL,defended,114,1,1786665334.050146,1786665334.070822,1786665334.074822,4.000,20,0
ALL,defended,115,1,1786665334.075155,1786665334.095833,1786665334.099832,3.999,20,0
ALL,defended,116,1,1786665334.100164,1786665334.120819,1786665334.124840,4.021,20,0
ALL,defended,117,1,1786665334.125175,1786665334.145853,1786665334.149856,4.003,20,0
ALL,defended,118,1,1786665334.150191,1786665334.170866,1786665334.174869,4.003,20,0
ALL,defended,119,1,1786665334.175200,1786665334.195872,1786665334.199874,4.002,20,0
ALL,defended,120,1,1786665334.200208,1786665334.220884,1786665334.224877,3.992,20,0
ALL,defended,121,1,1786665334.225218,1786665334.245883,1786665334.249874,3.991,20,0
ALL,defended,122,1,1786665334.250215,1786665334.270876,1786665334.274935,4.058,20,0
ALL,defended,123,1,1786665334.275218,1786665334.295906,1786665334.299907,4.001,20,0
ALL,defended,124,1,1786665334.300248,1786665334.321051,1786665334.325048,3.998,20,0
ALL,defended,125,1,1786665334.325414,1786665334.346066,1786665334.350065,4.000,20,0
ALL,defended,126,1,1786665334.350427,1786665334.371049,1786665334.375050,4.001,20,0
ALL,defended,127,1,1786665334.375411,1786665334.396059,1786665334.400047,3.988,20,0
ALL,defended,128,1,1786665334.400428,1786665334.421030,1786665334.425031,4.001,20,0
ALL,defended,129,1,1786665334.425396,1786665334.446088,1786665334.450085,3.997,20,0
ALL,defended,130,1,1786665334.450448,1786665334.471198,1786665334.475196,3.998,20,0
ALL,defended,131,1,1786665334.475536,1786665334.496216,1786665334.500211,3.995,20,0
ALL,defended,132,1,1786665334.500552,1786665334.521228,1786665334.525226,3.998,20,0
ALL,defended,133,1,1786665334.525567,1786665334.546251,1786665334.550313,4.062,20,0
ALL,defended,134,1,1786665334.550598,1786665334.575366,1786665334.579347,3.981,20,0
ALL,defended,135,1,1786665334.579677,1786665334.600306,1786665334.604311,4.005,20,0
ALL,defended,136,1,1786665334.604645,1786665334.625283,1786665334.629289,4.007,20,0
ALL,defended,137,1,1786665334.629620,1786665334.650277,1786665334.654274,3.998,20,0
ALL,defended,138,1,1786665334.654608,1786665334.675272,1786665334.679267,3.996,20,0
ALL,defended,139,1,1786665334.679598,1786665334.700278,1786665334.704275,3.997,20,0
ALL,defended,140,1,1786665334.704606,1786665334.725277,1786665334.729331,4.054,20,0
ALL,defended,141,1,1786665334.729617,1786665334.750276,1786665334.754281,4.005,20,0
ALL,defended,142,1,1786665334.754639,1786665334.775275,1786665334.779281,4.005,20,0
ALL,defended,143,1,1786665334.779619,1786665334.800281,1786665334.804277,3.997,20,0
ALL,defended,144,1,1786665334.804618,1786665334.825278,1786665334.829282,4.004,20,0
ALL,defended,145,1,1786665334.829620,1786665334.850285,1786665334.854277,3.992,20,0
ALL,defended,146,1,1786665334.854615,1786665334.875274,1786665334.879275,4.001,20,0
ALL,defended,147,1,1786665334.879615,1786665334.900287,1786665334.904288,4.001,20,0
ALL,defended,148,1,1786665334.904627,1786665334.925291,1786665334.929342,4.050,20,0
ALL,defended,149,1,1786665334.929624,1786665334.950296,1786665334.954304,4.007,20,0
ALL,defended,150,1,1786665334.954647,1786665334.975307,1786665334.979383,4.076,20,0
ALL,defended,151,1,1786665334.979666,1786665335.000312,1786665335.004313,4.001,20,0
ALL,defended,152,1,1786665335.004651,1786665335.025332,1786665335.029330,3.998,20,0
ALL,defended,153,1,1786665335.029670,1786665335.050344,1786665335.054343,4.000,20,0
ALL,defended,154,1,1786665335.054675,1786665335.075346,1786665335.079414,4.068,20,0
ALL,defended,155,1,1786665335.079701,1786665335.100760,1786665335.104759,3.999,20,0
ALL,defended,156,1,1786665335.105097,1786665335.125764,1786665335.129761,3.998,20,0
ALL,defended,157,1,1786665335.130093,1786665335.150766,1786665335.154765,3.999,20,0
ALL,defended,158,1,1786665335.155096,1786665335.175778,1786665335.179770,3.992,20,0
ALL,defended,159,1,1786665335.180102,1786665335.200769,1786665335.204768,3.999,20,0
ALL,defended,160,1,1786665335.205105,1786665335.225768,1786665335.229770,4.002,20,0
ALL,defended,161,1,1786665335.230117,1786665335.250762,1786665335.254762,4.000,20,0
ALL,defended,162,1,1786665335.255101,1786665335.275764,1786665335.279767,4.004,20,0
ALL,defended,163,1,1786665335.280105,1786665335.300764,1786665335.304765,4.001,20,0
ALL,defended,164,1,1786665335.305102,1786665335.325760,1786665335.329761,4.001,20,0
ALL,defended,165,1,1786665335.330099,1786665335.350719,1786665335.354719,4.000,20,0
ALL,defended,166,1,1786665335.355061,1786665335.375673,1786665335.379726,4.054,20,0
ALL,defended,167,1,1786665335.380009,1786665335.400626,1786665335.404627,4.001,20,0
ALL,defended,168,1,1786665335.404968,1786665335.425583,1786665335.429585,4.002,20,0
ALL,defended,169,1,1786665335.429925,1786665335.450541,1786665335.454548,4.007,20,0
ALL,defended,170,1,1786665335.454889,1786665335.475531,1786665335.479531,4.000,20,0
ALL,defended,171,1,1786665335.479868,1786665335.500527,1786665335.504528,4.001,20,0
ALL,defended,172,1,1786665335.504868,1786665335.525546,1786665335.529535,3.989,20,0
ALL,defended,173,1,1786665335.529873,1786665335.550543,1786665335.554544,4.001,20,0
ALL,defended,174,1,1786665335.554879,1786665335.575547,1786665335.579546,4.000,20,0
ALL,defended,175,1,1786665335.579877,1786665335.600534,1786665335.604627,4.093,20,0
ALL,defended,176,1,1786665335.604909,1786665335.625787,1786665335.629791,4.004,20,0
ALL,defended,177,1,1786665335.630132,1786665335.650758,1786665335.654756,3.999,20,0
ALL,defended,178,1,1786665335.655091,1786665335.675718,1786665335.679717,3.999,20,0
ALL,defended,179,1,1786665335.680050,1786665335.700679,1786665335.704678,3.999,20,0
ALL,defended,180,1,1786665335.705009,1786665335.725650,1786665335.729652,4.002,20,0
ALL,defended,181,1,1786665335.729994,1786665335.750633,1786665335.754632,3.998,20,0
ALL,defended,182,1,1786665335.754971,1786665335.775626,1786665335.779628,4.002,20,0
ALL,defended,183,1,1786665335.779966,1786665335.800623,1786665335.804631,4.007,20,0
ALL,defended,184,1,1786665335.804970,1786665335.825634,1786665335.829690,4.055,20,0
ALL,defended,185,1,1786665335.829991,1786665335.850638,1786665335.854642,4.004,20,0
ALL,defended,186,1,1786665335.854982,1786665335.875647,1786665335.879649,4.002,20,0
ALL,defended,187,1,1786665335.879987,1786665335.900654,1786665335.904652,3.998,20,0
ALL,defended,188,1,1786665335.904990,1786665335.925660,1786665335.929657,3.997,20,0
ALL,defended,189,1,1786665335.930079,1786665335.950628,1786665335.954674,4.046,20,0
ALL,defended,190,1,1786665335.955016,1786665335.975680,1786665335.979681,4.001,20,0
ALL,defended,191,1,1786665335.980020,1786665336.000678,1786665336.004682,4.004,20,0
ALL,defended,192,1,1786665336.005021,1786665336.025683,1786665336.029751,4.068,20,0
ALL,defended,193,1,1786665336.030033,1786665336.050689,1786665336.054693,4.004,20,0
ALL,defended,194,1,1786665336.055025,1786665336.075698,1786665336.079697,3.999,20,0
ALL,defended,195,1,1786665336.080029,1786665336.100672,1786665336.104692,4.020,20,0
ALL,defended,196,1,1786665336.105024,1786665336.125699,1786665336.129762,4.063,20,0
ALL,defended,197,1,1786665336.130045,1786665336.150805,1786665336.154807,4.002,20,0
ALL,defended,198,1,1786665336.155142,1786665336.175773,1786665336.179771,3.998,20,0
ALL,defended,199,1,1786665336.180102,1786665336.200739,1786665336.204755,4.016,20,0
ALL,defended,200,1,1786665336.205087,1786665336.225754,1786665336.229754,4.000,20,0
ALL,defended,201,1,1786665336.230096,1786665336.250754,1786665336.254752,3.998,20,0
ALL,defended,202,1,1786665336.255093,1786665336.275747,1786665336.279805,4.058,20,0
ALL,defended,203,1,1786665336.280090,1786665336.300745,1786665336.304752,4.007,20,0
ALL,defended,204,1,1786665336.305091,1786665336.325750,1786665336.329752,4.002,20,0
ALL,defended,205,1,1786665336.330091,1786665336.350759,1786665336.354761,4.002,20,0
ALL,defended,206,1,1786665336.355103,1786665336.375779,1786665336.379780,4.001,20,0
ALL,defended,207,1,1786665336.380117,1786665336.400791,1786665336.404783,3.993,20,0
ALL,defended,208,1,1786665336.405122,1786665336.425787,1786665336.429784,3.997,20,0
ALL,defended,209,1,1786665336.430123,1786665336.450789,1786665336.454788,3.999,20,0
ALL,defended,210,1,1786665336.455131,1786665336.475802,1786665336.479804,4.003,20,0
ALL,defended,211,1,1786665336.480141,1786665336.500816,1786665336.504816,4.000,20,0
ALL,defended,212,1,1786665336.505152,1786665336.525821,1786665336.529796,3.975,20,0
ALL,defended,213,1,1786665336.530128,1786665336.550839,1786665336.554844,4.005,20,0
ALL,defended,214,1,1786665336.555176,1786665336.575857,1786665336.579858,4.001,20,0
ALL,defended,215,1,1786665336.580190,1786665336.600849,1786665336.604857,4.008,20,0
ALL,defended,216,1,1786665336.605189,1786665336.625857,1786665336.629861,4.004,20,0
ALL,defended,217,1,1786665336.630190,1786665336.650869,1786665336.654932,4.063,20,0
ALL,defended,218,1,1786665336.655215,1786665336.675929,1786665336.679935,4.006,20,0
ALL,defended,219,1,1786665336.680288,1786665336.700930,1786665336.704926,3.996,20,0
ALL,defended,220,1,1786665336.705259,1786665336.725929,1786665336.729985,4.056,20,0
ALL,defended,221,1,1786665336.730291,1786665336.751233,1786665336.755241,4.008,20,0
ALL,defended,222,1,1786665336.755584,1786665336.780334,1786665336.784335,4.001,20,0
ALL,defended,223,1,1786665336.784676,1786665336.805289,1786665336.809285,3.996,20,0
ALL,defended,224,1,1786665336.809624,1786665336.830213,1786665336.834244,4.031,20,0
ALL,defended,225,1,1786665336.834584,1786665336.855212,1786665336.859210,3.999,20,0
ALL,defended,226,1,1786665336.859547,1786665336.880172,1786665336.884177,4.005,20,0
ALL,defended,227,1,1786665336.884520,1786665336.905169,1786665336.909178,4.008,20,0
ALL,defended,228,1,1786665336.909517,1786665336.930174,1786665336.934230,4.056,20,0
ALL,defended,229,1,1786665336.934513,1786665336.955171,1786665336.959171,4.000,20,0
ALL,defended,230,1,1786665336.959511,1786665336.980167,1786665336.984167,4.000,20,0
ALL,defended,231,1,1786665336.984508,1786665337.005182,1786665337.009169,3.987,20,0
