config,delivery,timing_mode,rep,txn,request_size,response_size,selected_target_ms,native_ready_ms,added_hold_ms,server_visible_ms,client_visible_ms,deadline_missed,bypassed,bypass_reason,queue_depth,byte_identical,recv_len,retransmission_count,ack_mode_pcap,dnp3_success
native/full,full,native,8,1,24,17,0.0,0.6115,0.0,0.6115,0.7467,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,8,2,21,17,0.0,0.3697,0.0,0.3697,0.711,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,8,3,24,17,0.0,0.3769,0.0,0.3769,0.6256,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,8,4,18,2407,0.0,0.3556,0.0,0.3556,0.6052,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,8,5,15,1657,0.0,0.4006,0.0,0.4006,0.6875,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,9,1,24,17,0.0,0.6055,0.0,0.6055,0.7613,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,9,2,21,17,0.0,0.3741,0.0,0.3741,0.7287,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,9,3,24,17,0.0,0.4043,0.0,0.4043,0.8813,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,9,4,18,2407,0.0,0.3181,0.0,0.3181,0.4221,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,9,5,15,1657,0.0,0.3128,0.0,0.3128,0.5433,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,10,1,24,17,0.0,0.606,0.0,0.606,0.7591,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,10,2,21,17,0.0,0.3607,0.0,0.3607,0.7119,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,10,3,24,17,0.0,0.4047,0.0,0.4047,0.6423,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,10,4,18,2407,0.0,0.2787,0.0,0.2787,0.4735,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,10,5,15,1657,0.0,0.3069,0.0,0.3069,0.5309,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,11,1,24,17,0.0,0.5268,0.0,0.5268,0.6609,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,11,2,21,17,0.0,0.3735,0.0,0.3735,0.6874,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,11,3,24,17,0.0,0.3725,0.0,0.3725,0.6228,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,11,4,18,2407,0.0,0.4004,0.0,0.4004,0.6432,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,11,5,15,1657,0.0,0.4357,0.0,0.4357,0.7546,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,12,1,24,17,0.0,0.6163,0.0,0.6163,0.7785,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,12,2,21,17,0.0,0.3623,0.0,0.3623,0.7046,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,12,3,24,17,0.0,0.354,0.0,0.354,0.5961,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,12,4,18,2407,0.0,0.35,0.0,0.35,0.6024,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,12,5,15,1657,0.0,0.3862,0.0,0.3862,0.6841,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,13,1,24,17,0.0,0.6178,0.0,0.6178,0.7534,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,13,2,21,17,0.0,0.3776,0.0,0.3776,0.7203,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,13,3,24,17,0.0,0.3909,0.0,0.3909,0.6405,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,13,4,18,2407,0.0,0.4075,0.0,0.4075,0.6539,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,13,5,15,1657,0.0,0.3589,0.0,0.3589,0.6608,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,14,1,24,17,0.0,0.6078,0.0,0.6078,0.7672,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,14,2,21,17,0.0,0.3706,0.0,0.3706,0.7282,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,14,3,24,17,0.0,0.3576,0.0,0.3576,0.6061,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,14,4,18,2407,0.0,0.393,0.0,0.393,0.6941,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,14,5,15,1657,0.0,0.3885,0.0,0.3885,0.6284,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,15,1,24,17,0.0,0.6278,0.0,0.6278,0.8079,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,15,2,21,17,0.0,0.3771,0.0,0.3771,0.7337,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,15,3,24,17,0.0,0.3628,0.0,0.3628,0.6272,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,15,4,18,2407,0.0,0.3567,0.0,0.3567,0.595,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,15,5,15,1657,0.0,0.3932,0.0,0.3932,0.6754,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,16,1,24,17,0.0,0.6221,0.0,0.6221,0.7799,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,16,2,21,17,0.0,0.4145,0.0,0.4145,0.8504,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,16,3,24,17,0.0,0.3751,0.0,0.3751,0.5483,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,16,4,18,2407,0.0,0.3587,0.0,0.3587,0.599,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,16,5,15,1657,0.0,0.3855,0.0,0.3855,0.6805,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,17,1,24,17,0.0,0.649,0.0,0.649,0.8454,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,17,2,21,17,0.0,0.3536,0.0,0.3536,0.7097,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,17,3,24,17,0.0,0.3456,0.0,0.3456,0.5861,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,17,4,18,2407,0.0,0.3441,0.0,0.3441,0.5757,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,17,5,15,1657,0.0,0.3664,0.0,0.3664,0.6472,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,18,1,24,17,0.0,0.6068,0.0,0.6068,0.7583,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,18,2,21,17,0.0,0.3613,0.0,0.3613,0.7087,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,18,3,24,17,0.0,0.3507,0.0,0.3507,0.9854,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,18,4,18,2407,0.0,0.4292,0.0,0.4292,0.5444,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,18,5,15,1657,0.0,0.3053,0.0,0.3053,0.5637,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,19,1,24,17,0.0,0.6361,0.0,0.6361,0.8195,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,19,2,21,17,0.0,0.364,0.0,0.364,0.7173,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,19,3,24,17,0.0,0.367,0.0,0.367,0.6434,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,19,4,18,2407,0.0,0.352,0.0,0.352,0.5885,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,19,5,15,1657,0.0,0.3754,0.0,0.3754,0.6541,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,20,1,24,17,0.0,0.6221,0.0,0.6221,0.7776,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,20,2,21,17,0.0,0.4071,0.0,0.4071,0.7647,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,20,3,24,17,0.0,0.3753,0.0,0.3753,0.6318,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,20,4,18,2407,0.0,0.3903,0.0,0.3903,0.643,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,20,5,15,1657,0.0,0.4072,0.0,0.4072,0.7029,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,21,1,24,17,0.0,0.6426,0.0,0.6426,0.8043,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,21,2,21,17,0.0,0.3794,0.0,0.3794,0.727,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,21,3,24,17,0.0,0.3668,0.0,0.3668,0.6215,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,21,4,18,2407,0.0,0.3713,0.0,0.3713,0.6123,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,21,5,15,1657,0.0,0.403,0.0,0.403,0.6961,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,22,1,24,17,0.0,0.6604,0.0,0.6604,0.8031,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,22,2,21,17,0.0,0.3773,0.0,0.3773,0.7624,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,22,3,24,17,0.0,0.369,0.0,0.369,0.6187,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,22,4,18,2407,0.0,0.3618,0.0,0.3618,0.6,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,22,5,15,1657,0.0,0.3993,0.0,0.3993,0.7178,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,23,1,24,17,0.0,0.6435,0.0,0.6435,0.8001,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,23,2,21,17,0.0,0.3829,0.0,0.3829,0.7404,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,23,3,24,17,0.0,0.3691,0.0,0.3691,0.6255,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,23,4,18,2407,0.0,0.3678,0.0,0.3678,0.6114,False,False,none,0,True,2407,na_no_pcap,not_captured,True
native/full,full,native,23,5,15,1657,0.0,0.4038,0.0,0.4038,0.6924,False,False,none,0,True,1657,na_no_pcap,not_captured,True
native/full,full,native,24,1,24,17,0.0,0.6473,0.0,0.6473,0.8101,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,24,2,21,17,0.0,0.3887,0.0,0.3887,0.7573,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,24,3,24,17,0.0,0.3767,0.0,0.3767,0.6285,False,False,none,0,True,17,na_no_pcap,not_captured,True
native/full,full,native,24,4,18,2407,0.0,0.3671,0.0,0.3671,0.609,False,False,none,0,True,2407,na_no_pcap,not_captured,True
