capture_epoch_index,inner_length
0,0
1,0
2,0
3,0
4,0
5,83
6,115
7,0
8,141
9,0
10,83
11,115
12,122
13,141
14,170
15,83
16,115
17,0
18,141
19,170
20,83
21,115
22,122
23,0
24,170
25,0
26,115
27,0
28,122
29,141
30,170
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
