txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785028739.916779872,3700469536,22,32,74,88,1,0,0,1,0,True,3700469558,5,1785028739.917268332,2213751466,3700469558,0,32,52,66,6,1785028739.923062778,2213751466,3700469558,54,32,106,120,129,0,23,0,1,True,54,5.794446,5794446,0.488460,406.667414,,,,False,False,,
1,0,8,1785028740.323447286,3700469558,22,32,74,88,1,1,0,1,0,True,3700469580,9,1785028740.324901264,2213751520,3700469580,0,32,52,66,10,1785028740.325969955,2213751520,3700469580,54,32,106,120,129,1,24,0,1,True,54,1.068691,1068691,1.453978,403.003102,400.384508,,,False,False,,
2,0,12,1785028740.726450388,3700469580,22,32,74,88,1,2,0,1,0,True,3700469602,13,1785028740.726946648,2213751574,3700469602,0,32,52,66,14,1785028740.729050645,2213751574,3700469602,54,32,106,120,129,2,25,0,1,True,54,2.103997,2103997,0.496260,5403.216354,400.480433,,,False,False,,
3,0,16,1785028746.129666742,3700469602,22,32,74,88,1,0,0,1,0,True,3700469624,17,1785028746.131031213,2213751628,3700469624,0,32,52,66,18,1785028746.133037492,2213751628,3700469624,54,32,106,120,129,0,26,0,1,True,54,2.006279,2006279,1.364471,5003.843823,5400.616097,,,False,False,,
4,0,20,1785028751.133510565,3700469624,22,32,74,88,1,1,0,1,0,True,3700469646,21,1785028751.134010995,2213751682,3700469646,0,32,52,66,22,1785028751.138179245,2213751682,3700469646,54,32,106,120,129,1,27,0,1,True,54,4.168250,4168250,0.500430,5005.150147,5000.473073,,,False,False,,
5,0,24,1785028756.138660712,3700469646,22,32,74,88,1,2,0,1,0,True,3700469668,25,1785028756.139064113,2213751736,3700469668,0,32,52,66,26,1785028756.143329064,2213751736,3700469668,54,32,106,120,129,2,28,0,1,True,54,4.264951,4264951,0.403401,5005.135757,5000.481467,,,False,False,,
6,0,28,1785028761.143796469,3700469668,22,32,74,88,1,3,0,1,0,True,3700469690,29,1785028761.144247363,2213751790,3700469690,0,32,52,66,30,1785028761.149109041,2213751790,3700469690,54,32,106,120,129,3,29,0,1,True,54,4.861678,4861678,0.450894,5005.782456,5000.467405,,,False,False,,
7,0,32,1785028766.149578925,3700469690,22,32,74,88,1,4,0,1,0,True,3700469712,33,1785028766.150083593,2213751844,3700469712,0,32,52,66,34,1785028766.154499788,2213751844,3700469712,54,32,106,120,129,4,30,0,1,True,54,4.416195,4416195,0.504668,5005.428190,5000.469884,,,False,False,,
8,0,36,1785028771.155007115,3700469712,22,32,74,88,1,5,0,1,0,True,3700469734,37,1785028771.155985284,2213751898,3700469734,0,32,52,66,38,1785028771.158691795,2213751898,3700469734,54,32,106,120,129,5,31,0,1,True,54,2.706511,2706511,0.978169,5004.153019,5000.507327,,,False,False,,
9,0,40,1785028776.159160134,3700469734,22,32,74,88,1,6,0,1,0,True,3700469756,41,1785028776.159659671,2213751952,3700469756,0,32,52,66,42,1785028776.163688265,2213751952,3700469756,54,32,106,120,129,6,32,0,1,True,54,4.028594,4028594,0.499537,5004.995867,5000.468339,,,False,False,,
10,0,44,1785028781.164156001,3700469756,22,32,74,88,1,7,0,1,0,True,3700469778,45,1785028781.164570136,2213752006,3700469778,0,32,52,66,46,1785028781.168819033,2213752006,3700469778,54,32,106,120,129,7,33,0,1,True,54,4.248897,4248897,0.414135,5005.103720,5000.467736,,,False,False,,
11,0,48,1785028786.169259721,3700469778,22,32,74,88,1,8,0,1,0,True,3700469800,49,1785028786.169776321,2213752060,3700469800,0,32,52,66,50,1785028786.174089736,2213752060,3700469800,54,32,106,120,129,8,34,0,1,True,54,4.313415,4313415,0.516600,5005.335677,5000.440688,,,False,False,,
12,0,52,1785028791.174595398,3700469800,22,32,74,88,1,9,0,1,0,True,3700469822,53,1785028791.175036395,2213752114,3700469822,0,32,52,66,54,1785028791.179891425,2213752114,3700469822,54,32,106,120,129,9,35,0,1,True,54,4.855030,4855030,0.440997,5005.811563,5000.505662,,,False,False,,
13,0,56,1785028796.180406961,3700469822,22,32,74,88,1,10,0,1,0,True,3700469844,57,1785028796.180931692,2213752168,3700469844,0,32,52,66,58,1785028796.185167418,2213752168,3700469844,54,32,106,120,129,10,36,0,1,True,54,4.235726,4235726,0.524731,5005.294301,5000.515536,,,False,False,,
14,0,60,1785028801.185701262,3700469844,22,32,74,88,1,11,0,1,0,True,3700469866,61,1785028801.186673094,2213752222,3700469866,0,32,52,66,62,1785028801.189412805,2213752222,3700469866,54,32,106,120,129,11,37,0,1,True,54,2.739711,2739711,0.971832,5004.214058,5000.533844,,,False,False,,
