capture_epoch_index,timestamp_us,slot_offset_us,slot_name,direction,cell_index,position_in_epoch,wire_len,dst_mac,src_mac,ethertype,magic,version,policy_id,key_epoch,cell_counter,public_header_len,ciphertext_len,tag_len,protocol,outer_flow_id,fragment_flag,retry_or_error_flag
1,1800000001201000,201000,response,reverse,4,10,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,22,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001201250,201250,response,reverse,5,11,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,23,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001201500,201500,response,reverse,6,12,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,24,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001201750,201750,response,reverse,7,13,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,25,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001202000,202000,response,reverse,8,14,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,26,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001202250,202250,response,reverse,9,15,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,27,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001202500,202500,response,reverse,10,16,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,28,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001202750,202750,response,reverse,11,17,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,29,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001203000,203000,response,reverse,12,18,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,30,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001203250,203250,response,reverse,13,19,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,D4C1,1,1,1,31,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001203500,203500,tail,forward,0,20,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,10,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
1,1800000001203750,203750,tail,forward,1,21,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,11,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002000000,0,request,forward,0,0,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,12,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002000250,250,request,forward,1,1,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,13,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002000500,500,request,forward,2,2,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,14,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
2,1800000002000750,750,request,forward,3,3,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,D4C1,1,1,1,15,18,208,16,defense4-s3-cell,d4-cell-v1,0,0
