capture_epoch_index,case_id,status,primary_rn_l,protected_inner_length,exact_recovery,input_sha256,decoded_sha256,request_bundle_bytes,ack_bundle_bytes,response_bundle_bytes,tail_bundle_bytes,slot_status,source_kind,source_ref
16,rn-l-0243-19,success,1,243,1,12cbd9d1eaeac3cb4a64cebdf814e96f8620a30b56ed7c156fccae0d0c3fb36f,12cbd9d1eaeac3cb4a64cebdf814e96f8620a30b56ed7c156fccae0d0c3fb36f,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
17,rn-l-0243-17,success,1,243,1,ac97fc4d38987aad901f83801ba413da6b76000c22958cf999f10d3834137ae1,ac97fc4d38987aad901f83801ba413da6b76000c22958cf999f10d3834137ae1,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
18,rn-l-0058-09,success,1,58,1,d6100ad03374ee4cf1d5916254bdbb54a166a0106e49581ee28cb25c54eb0f20,d6100ad03374ee4cf1d5916254bdbb54a166a0106e49581ee28cb25c54eb0f20,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
19,rn-l-0049-06,success,1,49,1,a92f69b2bb7adcb7f4dbc6e20fbe6183bcbf3b13eb8d9884f14f641bcadad05c,a92f69b2bb7adcb7f4dbc6e20fbe6183bcbf3b13eb8d9884f14f641bcadad05c,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
20,rn-l-1574-15,success,1,1574,1,b55076046363da4f09820499856cc86a5b420a0e8fe28b92fdb28cf3b5c059e3,b55076046363da4f09820499856cc86a5b420a0e8fe28b92fdb28cf3b5c059e3,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
21,rn-l-0058-18,success,1,58,1,0032b7150a1af82c4fd736e39c2dfc60e8169a3698f349343863a9231774c669,0032b7150a1af82c4fd736e39c2dfc60e8169a3698f349343863a9231774c669,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
22,rn-l-1574-01,success,1,1574,1,d9d19f2042f352ce70bf190abc989292eceed77eaa35f19219037e69fec7d7fa,d9d19f2042f352ce70bf190abc989292eceed77eaa35f19219037e69fec7d7fa,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
23,rn-l-1574-16,success,1,1574,1,fdc8ba949f0232a1457fe847946ca43dd1c7dec4998312bc600a4e899b957e47,fdc8ba949f0232a1457fe847946ca43dd1c7dec4998312bc600a4e899b957e47,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
24,rn-l-0049-07,success,1,49,1,d4f700f736af247ea1cd82e7ed19e412918c6a45e0dad8709537f1d214ab33d2,d4f700f736af247ea1cd82e7ed19e412918c6a45e0dad8709537f1d214ab33d2,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
25,rn-l-0049-11,success,1,49,1,df15730dba292f71e6d35415b225d99bf01aa9794b0cf34b7ccf44a832274862,df15730dba292f71e6d35415b225d99bf01aa9794b0cf34b7ccf44a832274862,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
26,rn-l-0017-15,success,1,17,1,2afbd445f24b4df1914125a64c56869ace9116fed5945b4bec4e297c7b2324b3,2afbd445f24b4df1914125a64c56869ace9116fed5945b4bec4e297c7b2324b3,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
27,rn-l-0243-11,success,1,243,1,ed9682c5e90721bce5ee2e278b544605010395a8dd91d3f1fcfc48e72589c54c,ed9682c5e90721bce5ee2e278b544605010395a8dd91d3f1fcfc48e72589c54c,78,58,301,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
28,rn-l-0017-16,success,1,17,1,c116a18136813a067275b0d23f583d89d1a3dbf63f6619de79c0f4010248cafa,c116a18136813a067275b0d23f583d89d1a3dbf63f6619de79c0f4010248cafa,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
29,rn-l-0049-10,success,1,49,1,70cec2879c76bc4f110ca9bd8a6b903833a720bd7f352a8687bf2e4044cdcd90,70cec2879c76bc4f110ca9bd8a6b903833a720bd7f352a8687bf2e4044cdcd90,78,58,107,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
30,rn-l-0017-17,success,1,17,1,f16ca9d2aee1fef34c9ab14929fda03539f2000933244e2fedda57872e7f2bf4,f16ca9d2aee1fef34c9ab14929fda03539f2000933244e2fedda57872e7f2bf4,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
