corpus,operation,series,n,target_C_ms,median_ms,mean_ms,sd_ms,variance_ms2,min_ms,max_ms
campaign_v1,READ,measured_native,26400,4.0,2.115965,2.799902,2.609171,6.80777439,1.013994,83.457947
campaign_v1,READ,analytical_constant_shift,26400,4.0,4.0,4.683937,2.609171,6.80777439,2.898029,85.341982
campaign_v1,READ,measured_defended,26400,4.0,3.999949,4.012374,0.627899,0.394257058,3.921986,57.182074
campaign_v1,SELECT,measured_native,2640,4.0,2.049923,2.64552,2.266749,5.138150917,0.970125,24.831057
campaign_v1,SELECT,analytical_constant_shift,2640,4.0,4.0,4.595597,2.266749,5.138150917,2.920202,26.781134
campaign_v1,SELECT,measured_defended,2640,4.0,4.000187,4.000989,0.024241,0.000587637,3.925085,5.149841
