class,condition,n,median_ms,std_ms,min_ms,max_ms,n_over_12ms
READ,native,999,1.272,1.354,1.058,12.274,2
READ,defended,599,4.001,0.022,3.967,4.098,0
SELECT,native,488,2.107,2.530,0.968,18.178,11
SELECT,defended,499,4.001,0.021,3.966,4.124,0
