condition,class,request_to_ack_ms,clrt_ms
native,READ,0.6316,1.1690
native,READ,1.6072,1.2310
native,READ,0.6115,6.5120
native,READ,0.5548,1.2320
native,READ,1.6279,1.4320
native,READ,0.6235,2.1440
native,READ,0.6390,1.1970
native,READ,1.6587,1.0860
native,READ,0.6316,2.1340
native,READ,0.6268,1.1600
native,READ,1.6639,1.1870
native,READ,0.6340,2.1700
native,READ,0.5298,1.2120
native,READ,1.6234,1.3150
native,READ,0.5224,2.2290
native,READ,0.5617,1.2160
native,READ,1.5745,1.1850
native,READ,0.6282,2.1500
native,READ,0.6683,1.1820
native,READ,1.6210,1.1760
native,READ,0.5498,2.2000
native,READ,0.5722,1.1950
native,READ,1.6158,1.1730
native,READ,0.5641,2.1900
native,READ,0.7851,1.2120
native,READ,1.5390,1.2400
native,READ,0.6406,2.2190
native,READ,0.5128,2.3110
native,READ,0.6289,1.2070
native,READ,1.5719,1.1860
native,READ,0.6156,2.1820
native,READ,0.6287,1.1450
native,READ,1.5733,1.1710
native,READ,0.7143,2.1320
native,READ,0.5579,1.2170
native,READ,1.7099,1.2320
native,READ,0.5102,2.3500
native,READ,0.5915,1.1980
native,READ,5.6779,1.3360
native,READ,0.5267,2.2020
native,READ,0.5503,1.3280
native,READ,1.6217,1.1680
native,READ,0.5875,2.1410
native,READ,0.5736,1.2570
native,READ,1.8458,1.1240
native,READ,0.6406,2.3320
native,READ,0.5829,1.2710
native,READ,1.5304,1.2680
native,READ,0.5250,2.2160
native,READ,0.6332,1.1980
native,READ,1.5166,1.2490
native,READ,0.5469,2.2430
native,READ,0.5221,1.2760
native,READ,1.5240,1.2400
native,READ,0.5233,2.7370
native,READ,0.5257,2.2890
native,READ,0.6280,1.2000
native,READ,1.5514,6.3240
native,READ,1.6425,1.1880
native,READ,0.5703,4.0710
native,READ,1.6916,1.2350
native,READ,0.6254,2.1550
native,READ,0.7792,1.1450
native,READ,1.5757,1.1730
native,READ,0.6320,2.3200
native,READ,0.5789,1.2960
native,READ,1.6124,1.1310
native,READ,0.5724,2.2420
native,READ,0.6375,1.1460
native,READ,1.5821,1.1300
native,READ,0.6094,6.1220
native,READ,0.5782,1.4030
native,READ,1.6739,1.1800
native,READ,0.6588,2.1380
native,READ,0.6459,1.1510
native,READ,1.6832,1.1450
native,READ,0.5598,2.2530
native,READ,0.5805,1.2020
native,READ,1.6065,1.2410
native,READ,0.5701,2.1880
native,READ,0.6113,1.1870
native,READ,1.5631,1.2330
native,READ,0.7510,2.2070
native,READ,0.5324,2.5110
native,READ,0.6325,1.1520
native,READ,1.6406,1.1370
native,READ,0.6194,2.1650
native,READ,0.5760,1.2070
native,READ,1.6146,1.1360
native,READ,0.5307,2.2570
native,READ,0.5426,1.3240
native,READ,1.5800,1.1780
native,READ,0.6297,2.3080
native,READ,0.5226,1.2720
native,READ,1.5852,1.1910
native,READ,0.5078,2.2460
native,READ,0.4966,1.3630
native,READ,1.5347,1.2730
native,READ,0.6270,2.1600
native,READ,0.6280,1.2470
native,READ,1.5981,1.1080
native,READ,0.6151,2.2290
native,READ,0.6223,1.1610
native,READ,1.7741,1.1390
native,READ,0.5870,2.3500
native,READ,0.5586,1.2260
native,READ,1.4994,5.4370
native,READ,0.5698,2.2740
native,READ,0.5028,2.3790
native,READ,0.5982,1.1930
native,READ,1.5969,1.2070
native,READ,0.6166,2.1880
native,READ,0.7854,1.1450
native,READ,1.6313,1.1480
native,READ,0.5970,2.1660
native,READ,0.5424,1.2380
native,READ,1.6356,1.2340
native,READ,0.6139,2.2500
native,READ,0.5822,1.2730
native,READ,1.6131,1.1960
native,READ,0.5684,2.2180
native,READ,0.6499,1.3440
native,READ,1.6022,1.2830
native,READ,0.6199,2.1740
native,READ,0.6299,1.2340
native,READ,1.4763,1.2380
native,READ,0.5746,2.2670
native,READ,0.5088,1.2530
native,READ,1.5051,1.1990
native,READ,0.5593,2.2840
native,READ,0.5205,1.2660
native,READ,1.4577,1.3140
native,READ,0.5207,2.2870
native,READ,0.5252,2.4600
native,READ,0.5689,1.2430
native,READ,1.5991,1.2300
native,READ,0.6299,2.1350
native,READ,0.6282,1.1550
native,READ,1.6451,1.2250
native,READ,0.6192,2.1240
native,READ,0.6185,1.1940
native,READ,1.6477,1.1380
native,READ,4.6945,2.3490
native,READ,0.6120,1.1740
native,READ,1.6463,1.1810
native,READ,0.5782,2.2250
native,READ,0.5538,1.2460
native,READ,1.5521,1.2170
native,READ,0.5186,2.2710
native,READ,0.5133,1.3500
native,READ,1.5788,1.0590
native,READ,0.5140,2.4490
native,READ,0.5193,1.2830
native,READ,1.7340,1.1680
native,READ,0.6361,2.1950
native,READ,0.6177,1.1560
native,READ,1.5819,1.2130
native,READ,0.6275,2.1600
native,READ,0.6030,2.3880
native,READ,0.5326,1.2240
native,READ,0.5698,2.2680
native,READ,0.5808,2.2250
native,READ,0.5906,1.1950
native,READ,0.5612,2.4480
native,READ,0.6294,2.1210
native,READ,0.6046,1.2570
native,READ,1.6539,1.1400
native,READ,0.5195,2.1340
native,READ,0.6404,1.1820
native,READ,1.7352,1.1370
native,READ,0.5150,2.3940
native,READ,0.5159,1.3010
native,READ,1.5965,1.5150
native,READ,0.5577,2.1830
native,READ,0.7646,1.2030
native,READ,1.5361,1.2440
native,READ,0.5724,2.1940
native,READ,0.5536,5.3450
native,READ,1.5821,1.2900
native,READ,0.5784,2.2080
native,READ,0.5808,2.1640
native,READ,0.5848,1.3120
native,READ,1.5979,1.1860
native,READ,0.6015,2.3020
native,READ,0.6256,1.2140
native,READ,1.6916,1.1830
native,READ,0.5825,2.1910
native,READ,0.5436,1.2320
native,READ,1.6191,1.2650
native,READ,0.5620,2.1550
native,READ,0.5169,1.2680
native,READ,1.6243,1.1910
native,READ,0.6320,2.1540
native,READ,0.5245,1.2750
native,READ,1.8640,1.2110
native,READ,0.5236,2.3320
native,READ,0.6256,1.1880
native,READ,1.6186,1.1800
native,READ,0.6318,2.1720
native,READ,0.6933,1.1650
native,READ,1.5433,1.2110
native,READ,0.6235,2.1400
native,READ,0.6065,1.1650
native,READ,1.5798,1.2510
native,READ,0.5901,2.3800
native,READ,0.5918,2.2150
native,READ,0.7129,1.1790
native,READ,1.5705,1.1950
native,READ,0.6239,2.1780
native,READ,0.5581,1.2390
native,READ,1.6406,1.1290
native,READ,0.6406,2.1660
native,READ,0.6282,1.1470
native,READ,5.7759,1.3160
native,READ,0.5805,2.1970
native,READ,0.6101,1.2140
native,READ,1.6181,1.1890
native,READ,0.5798,2.1900
native,READ,0.5925,1.1870
native,READ,1.6642,1.1930
native,READ,0.5658,2.2040
native,READ,0.5660,1.2120
native,READ,1.5647,1.2760
native,READ,0.5786,2.0970
native,READ,0.7663,1.2520
native,READ,1.6696,1.0970
native,READ,0.6845,2.1630
native,READ,0.5739,1.2230
native,READ,1.6248,1.1690
native,READ,0.5586,2.2110
native,READ,0.6282,1.1870
native,READ,1.6608,1.1410
native,READ,0.6270,2.1650
native,READ,0.7246,1.1500
native,READ,1.5216,1.2420
native,READ,0.7045,2.1640
native,READ,0.5019,2.6600
native,READ,0.7133,1.1690
native,READ,1.6291,1.2770
native,READ,0.5322,2.3840
native,READ,0.6733,1.1540
native,READ,1.6031,1.3000
native,READ,0.7110,2.3030
native,READ,0.5646,2.2290
native,READ,0.5980,1.2300
native,READ,1.7903,1.1480
native,READ,0.6299,2.2080
native,READ,0.6547,1.1430
native,READ,1.6568,5.1760
native,READ,0.6220,2.2000
native,READ,0.6168,1.2580
native,READ,1.6003,1.1310
native,READ,0.6270,2.2350
native,READ,0.6042,1.1780
native,READ,1.8198,1.1730
native,READ,0.4921,7.0390
native,READ,0.5128,2.2960
native,READ,0.6022,1.2490
native,READ,1.6105,1.1490
native,READ,0.6456,2.1700
native,READ,0.6220,1.1360
native,READ,1.6522,1.1700
native,READ,0.6180,2.1570
native,READ,0.8256,1.1310
native,READ,1.5635,1.5280
native,READ,0.5534,2.2370
native,READ,0.6297,1.2430
native,READ,1.6096,1.1250
native,READ,0.6266,2.2660
native,READ,0.5445,1.2300
native,READ,1.6494,1.1500
native,READ,0.6278,2.3670
native,READ,0.5162,1.2690
native,READ,1.4861,1.4480
native,READ,1.6298,1.1480
native,READ,0.6497,2.1060
native,READ,0.5727,1.2770
native,READ,1.6637,1.1570
native,READ,0.6196,2.2370
native,READ,0.5984,1.1830
native,READ,1.6458,1.1620
native,READ,0.5958,2.1150
native,READ,0.6073,5.4500
native,READ,1.6434,1.1580
native,READ,0.5960,2.2580
native,READ,0.5872,1.2110
native,READ,1.5910,1.2550
native,READ,0.4952,2.3360
native,READ,0.5059,1.3290
native,READ,1.5950,1.1890
native,READ,0.5181,2.2780
native,READ,0.5913,1.2480
native,READ,1.5752,1.2070
native,READ,0.5751,2.3800
native,READ,0.6237,1.2150
native,READ,1.5798,1.1710
native,READ,0.6247,2.2150
native,READ,0.6027,1.1860
native,READ,1.5013,1.3150
native,READ,0.5701,2.2280
native,READ,0.5574,2.2440
native,READ,0.5732,1.2210
native,READ,0.5891,2.2070
native,READ,0.5755,2.3710
native,READ,0.6180,1.1580
native,READ,1.6537,1.2170
native,READ,0.5820,2.1160
native,READ,0.5479,1.2640
native,READ,1.6530,1.1290
native,READ,0.6795,2.1320
native,READ,0.6368,1.1550
native,READ,1.6730,1.1410
native,READ,0.5591,2.4230
native,READ,0.4940,1.2800
native,READ,1.5986,1.4070
native,READ,0.6280,2.1210
native,READ,0.6418,1.1400
native,READ,1.6422,1.1610
native,READ,4.7445,2.3420
native,READ,0.5784,1.1760
native,READ,1.5862,1.1390
native,READ,0.6230,2.2360
native,READ,0.6518,1.1920
native,READ,1.5569,1.3230
native,READ,0.5918,2.2200
native,READ,0.5600,2.2300
native,READ,0.5829,1.2110
native,READ,0.5434,2.2420
native,READ,0.6399,2.2130
native,READ,0.5267,1.3020
native,READ,0.5271,2.3450
native,READ,0.5169,2.1730
native,READ,0.5271,1.4000
native,READ,1.6348,1.1540
native,READ,0.8020,2.0910
native,READ,0.6256,1.1370
native,READ,1.7657,1.1620
native,READ,0.5777,2.2850
native,READ,0.5555,1.1950
native,READ,1.5967,1.3860
native,READ,0.6282,2.1060
native,READ,0.5896,1.2130
native,READ,1.6658,1.1280
native,READ,0.6902,2.1260
native,READ,0.6187,1.2410
native,READ,1.6525,1.3170
native,READ,0.5856,2.2370
native,READ,0.5772,1.1920
native,READ,1.6236,1.3150
native,READ,0.5150,2.2370
native,READ,0.6225,2.2160
native,READ,0.5050,1.4670
native,READ,1.6136,1.1250
native,READ,0.6292,6.5170
native,READ,0.5085,1.2480
native,READ,1.5674,1.2470
native,READ,0.5181,2.2860
native,READ,0.5727,1.2280
native,READ,1.5752,1.2530
native,READ,0.6311,2.1660
native,READ,0.5841,1.2530
native,READ,1.6236,1.1860
native,READ,0.5629,2.1420
native,READ,0.5476,1.2660
native,READ,1.8156,1.1420
native,READ,0.6471,2.1070
native,READ,0.7093,1.2060
native,READ,1.6253,1.1500
native,READ,0.6196,2.1630
native,READ,0.5424,1.2440
native,READ,1.5912,1.1570
native,READ,0.6266,2.1380
native,READ,0.6273,1.1630
native,READ,1.6937,1.1270
native,READ,0.5450,2.2190
native,READ,0.7932,1.1700
native,READ,1.5197,1.2700
native,READ,0.5777,2.1790
native,READ,0.5853,2.3210
native,READ,0.5908,1.1920
native,READ,0.5796,2.2550
native,READ,0.6189,2.1720
native,READ,0.6232,1.1670
native,READ,1.5891,1.2010
native,READ,0.6261,2.1700
native,READ,0.6204,1.3160
native,READ,1.5898,1.1550
native,READ,0.5701,2.3230
native,READ,0.5128,1.2730
native,READ,5.6899,1.3920
native,READ,0.5217,2.1800
native,READ,0.5214,1.3210
native,READ,1.6093,1.2320
native,READ,0.6909,2.0950
native,READ,0.5212,1.2730
native,READ,1.6882,1.2220
native,READ,0.6263,2.1800
native,READ,0.6230,1.1440
native,READ,1.7545,1.2240
native,READ,0.5856,2.1620
native,READ,0.6866,1.1700
native,READ,1.4775,1.2520
native,READ,0.5629,2.3220
native,READ,0.5665,1.2630
native,READ,1.5352,1.2500
native,READ,0.5891,2.3830
native,READ,0.6359,2.1440
native,READ,0.6008,1.2170
native,READ,1.5922,1.1670
native,READ,0.6273,2.1620
native,READ,0.6306,1.2520
native,READ,1.6174,1.1560
native,READ,0.6306,2.4080
native,READ,0.6142,1.2540
native,READ,1.6289,1.1560
native,READ,0.6275,7.2990
native,READ,0.6309,2.2430
native,READ,0.6235,4.2420
native,READ,0.6998,2.2640
native,READ,0.6168,1.1630
native,READ,1.5919,1.1310
native,READ,0.6285,6.3210
native,READ,0.7915,1.2020
native,READ,1.5125,1.4530
native,READ,1.5748,1.2460
native,READ,0.6115,2.2470
native,READ,0.6363,1.1590
native,READ,1.6234,1.1460
native,READ,0.5620,2.2620
native,READ,0.6087,1.2360
native,READ,1.5860,1.2100
native,READ,0.5617,2.1960
native,READ,0.6273,1.3920
native,READ,1.5795,1.1430
native,READ,0.5090,2.3560
native,READ,0.4957,1.2570
native,READ,1.5862,1.2290
native,READ,0.5691,2.2920
native,READ,0.6135,1.2310
native,READ,1.5557,1.2150
native,READ,0.6235,2.1710
native,READ,0.6294,1.2090
