corpus,operation,series,n,target_C_ms,median_ms,mean_ms,sd_ms,variance_ms2,min_ms,max_ms
final_read_sbo,READ,measured_native,999,4.0,1.272,1.880334,1.354897,1.835745145,1.058,12.275
final_read_sbo,READ,analytical_constant_shift,999,4.0,4.0,4.608334,1.354897,1.835745145,3.786,15.003
final_read_sbo,READ,measured_defended,599,4.0,4.001,4.007661,0.022179,0.000491897,3.967,4.098
final_read_sbo,SELECT,measured_native,488,4.0,2.107,3.114977,2.532216,6.412117041,0.968,18.178
final_read_sbo,SELECT,analytical_constant_shift,488,4.0,4.0,5.007977,2.532216,6.412117041,2.861,20.071
final_read_sbo,SELECT,measured_defended,499,4.0,4.001,4.007796,0.021259,0.00045195,3.966,4.124
