txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
18,0,76,1785028596.822252848,2334819540,22,32,74,88,1,2,0,1,0,True,2334819562,77,1785028596.823375685,2052937969,2334819562,0,32,52,66,78,1785028596.824543888,2052937969,2334819562,54,32,106,120,129,2,46,0,1,True,54,1.168203,1168203,1.122837,399.997644,397.938170,,,False,False,,
19,0,80,1785028597.222250492,2334819562,22,32,74,88,1,3,0,1,0,True,2334819584,81,1785028597.223517858,2052938023,2334819584,0,32,52,66,82,1785028597.229523052,2052938023,2334819584,54,32,106,120,129,3,47,0,1,True,54,6.005194,6005194,1.267366,400.004144,397.706604,,,False,False,,
20,0,84,1785028597.622254636,2334819584,22,32,74,88,1,4,0,1,0,True,2334819606,85,1785028597.623660698,2052938077,2334819606,0,32,52,66,86,1785028597.629533935,2052938077,2334819606,54,32,106,120,129,4,48,0,1,True,54,5.873237,5873237,1.406062,399.981545,392.731584,,,False,False,,
21,0,88,1785028598.022236181,2334819606,22,32,74,88,1,5,0,1,0,True,2334819628,89,1785028598.023843484,2052938131,2334819628,0,32,52,66,90,1785028598.025010885,2052938131,2334819628,54,32,106,120,129,5,49,0,1,True,54,1.167401,1167401,1.607303,400.014509,392.702246,,,False,False,,
22,0,92,1785028598.422250690,2334819628,22,32,74,88,1,6,0,1,0,True,2334819650,93,1785028598.423819354,2052938185,2334819650,0,32,52,66,94,1785028598.424887871,2052938185,2334819650,54,32,106,120,129,6,50,0,1,True,54,1.068517,1068517,1.568664,399.972235,397.239805,,,False,False,,
23,0,96,1785028598.822222925,2334819650,22,32,74,88,1,7,0,1,0,True,2334819672,97,1785028598.823707847,2052938239,2334819672,0,32,52,66,98,1785028598.824815993,2052938239,2334819672,54,32,106,120,129,7,51,0,1,True,54,1.108146,1108146,1.484922,400.018174,397.335054,,,False,False,,
24,0,100,1785028599.222241099,2334819672,22,32,74,88,1,8,0,1,0,True,2334819694,101,1785028599.222694223,2052938293,2334819694,0,32,52,66,102,1785028599.229557126,2052938293,2334819694,54,32,106,120,129,8,52,0,1,True,54,6.862903,6862903,0.453124,400.001696,397.425106,,,False,False,,
25,0,104,1785028599.622242795,2334819694,22,32,74,88,1,9,0,1,0,True,2334819716,105,1785028599.622732159,2052938347,2334819716,0,32,52,66,106,1785028599.624863763,2052938347,2334819716,54,32,106,120,129,9,53,0,1,True,54,2.131604,2131604,0.489364,399.985672,392.685669,,,False,False,,
26,0,108,1785028600.022228467,2334819716,22,32,74,88,1,10,0,1,0,True,2334819738,109,1785028600.022732387,2052938401,2334819738,0,32,52,66,110,1785028600.024835917,2052938401,2334819738,54,32,106,120,129,10,54,0,1,True,54,2.103530,2103530,0.503920,400.023901,397.364704,,,False,False,,
27,0,112,1785028600.422252368,2334819738,22,32,74,88,1,11,0,1,0,True,2334819760,113,1785028600.422779985,2052938455,2334819760,0,32,52,66,114,1785028600.425004329,2052938455,2334819760,54,32,106,120,129,11,55,0,1,True,54,2.224344,2224344,0.527617,399.977957,397.416451,,,False,False,,
