Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 14
  Number of stages for ingress table allocation: 14
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 14 stages.
Number of tables allocated: 139
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   9   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3097         |
|   9   |   [ 8, 10 ]     |                           cond-117                           |
|   9   |   [ 8, 10 ]     |                           cond-124                           |
|   9   |   [ 8, 10 ]     |                           cond-130                           |
|   9   |   [ 8, 10 ]     |                           cond-142                           |
|   9   |   [ 8, 10 ]     |                           cond-146                           |
|   9   |   [ 8, 10 ]     |                           cond-134                           |
|   9   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3365         |
|   9   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3388         |
|   9   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3392         |
|  10   |   [ 8, 10 ]     |                           cond-150                           |
|  10   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3218         |
|  10   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3519         |
|  10   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3287         |
|  10   |   [ 8, 10 ]     |                           cond-159                           |
|  10   |   [ 8, 10 ]     |                           cond-135                           |
|  10   |   [ 9, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3225         |
|  10   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3181         |
|  10   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3117         |
|  10   |   [ 9, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3121         |
|  10   |   [ 8, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3546         |
|  10   |   [ 8, 10 ]     |        tbl_defense4_rrc_bor_stagerecovery_probe3546_0        |
|  10   |   [ 9, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3268         |
|  10   |   [ 9, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3278         |
|  10   |   [ 9, 10 ]     |        tbl_defense4_rrc_bor_stagerecovery_probe3278_0        |
|  10   |   [ 9, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3290         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3309         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3130         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3331         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3335         |
|  11   |   [ 8, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3471         |
|  11   |   [ 8, 10 ]*    |                           cond-152                           |
|  11   |   [ 8, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3356         |
|  11   |   [ 8, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3562         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3490         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3499         |
|  11   |   [ 8, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3477         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3485         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3139         |
|  11   |   [ 8, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3439         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3448         |
|  11   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3456         |
|  12   |   [ 8, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3405         |
|  12   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3410         |
|  12   |   [ 9, 10 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3419         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3415         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3452         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3481         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3494         |
|  12   |   [ 8, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3568         |
|  12   |   [ 8, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3350         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3337         |
|  12   |   [ 9, 11 ]*    |                       tbl_arm_clone_0                        |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3333         |
|  12   |   [ 9, 11 ]*    |                        tbl_arm_clone                         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3279         |
|  12   |   [ 9, 11 ]*    |         tbl_defense4_rrc_bor_stagerecovery_probe3147         |
