config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,ack_mode,response_delivery,is_first_in_connection
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57150,127.0.0.1,20000,5,127.0.0.1:57150<->127.0.0.1:20000#s5,56,1784212190.9912217,70,52,0x0018,18,84,1,57,1784212191.0267553,2407,0x0018,False,,,,,57,1784212191.0267553,2407,2473,0x0018,129,35.533667,,,35.533667,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57150,127.0.0.1,20000,5,127.0.0.1:57150<->127.0.0.1:20000#s5,58,1784212191.0268807,88,2459,0x0018,15,81,0,59,1784212191.0624228,1657,0x0018,False,,,,,59,1784212191.0624228,1657,1723,0x0018,129,35.542011,,,35.542011,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57170,127.0.0.1,20000,7,127.0.0.1:57170<->127.0.0.1:20000#s7,69,1784212192.2805912,1,1,0x0018,24,90,20,70,1784212192.2806027,0,0x0010,True,70,1784212192.2806027,1,25,71,1784212192.3157265,17,83,0x0018,129,0.011444,0.011444,35.123825,35.135269,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57170,127.0.0.1,20000,7,127.0.0.1:57170<->127.0.0.1:20000#s7,73,1784212192.3158038,25,18,0x0018,21,87,2,74,1784212192.3511713,17,0x0018,False,,,,,74,1784212192.3511713,17,83,0x0018,129,35.367489,,,35.367489,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57170,127.0.0.1,20000,7,127.0.0.1:57170<->127.0.0.1:20000#s7,75,1784212192.3512459,46,35,0x0018,24,90,20,76,1784212192.3865616,17,0x0018,False,,,,,76,1784212192.3865616,17,83,0x0018,129,35.315752,,,35.315752,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57170,127.0.0.1,20000,7,127.0.0.1:57170<->127.0.0.1:20000#s7,77,1784212192.386636,70,52,0x0018,18,84,1,78,1784212192.4220002,2407,0x0018,False,,,,,78,1784212192.4220002,2407,2473,0x0018,129,35.364151,,,35.364151,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57170,127.0.0.1,20000,7,127.0.0.1:57170<->127.0.0.1:20000#s7,79,1784212192.4221084,88,2459,0x0018,15,81,0,80,1784212192.457636,1657,0x0018,False,,,,,80,1784212192.457636,1657,1723,0x0018,129,35.527706,,,35.527706,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57190,127.0.0.1,20000,9,127.0.0.1:57190<->127.0.0.1:20000#s9,90,1784212193.675525,1,1,0x0018,24,90,20,91,1784212193.6755366,0,0x0010,True,91,1784212193.6755366,1,25,92,1784212193.710654,17,83,0x0018,129,0.011683,0.011683,35.117388,35.12907,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57190,127.0.0.1,20000,9,127.0.0.1:57190<->127.0.0.1:20000#s9,94,1784212193.7107234,25,18,0x0018,21,87,2,95,1784212193.7461174,17,0x0018,False,,,,,95,1784212193.7461174,17,83,0x0018,129,35.393953,,,35.393953,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57190,127.0.0.1,20000,9,127.0.0.1:57190<->127.0.0.1:20000#s9,96,1784212193.746193,46,35,0x0018,24,90,20,97,1784212193.78152,17,0x0018,False,,,,,97,1784212193.78152,17,83,0x0018,129,35.326958,,,35.326958,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
