config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44722,127.0.0.1,20000,5,127.0.0.1:44722<->127.0.0.1:20000#s5,54,1784213758.0683327,46,35,0x0018,24,90,20,55,1784213758.0936484,17,0x0018,False,,,,,55,1784213758.0936484,17,83,0x0018,129,25.315762,,,25.315762,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44722,127.0.0.1,20000,5,127.0.0.1:44722<->127.0.0.1:20000#s5,56,1784213758.0939867,70,52,0x0018,18,84,1,57,1784213758.1195529,2407,0x0018,False,,,,,57,1784213758.1195529,2407,2473,0x0018,129,25.566101,,,25.566101,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44722,127.0.0.1,20000,5,127.0.0.1:44722<->127.0.0.1:20000#s5,58,1784213758.1196787,88,2459,0x0018,15,81,0,59,1784213758.1456165,1657,0x0018,False,,,,,59,1784213758.1456165,1657,1723,0x0018,129,25.937796,,,25.937796,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44754,127.0.0.1,20000,7,127.0.0.1:44754<->127.0.0.1:20000#s7,69,1784213759.3649135,1,1,0x0018,24,90,20,70,1784213759.3649251,0,0x0010,True,70,1784213759.3649251,1,25,71,1784213759.390048,17,83,0x0018,129,0.011683,0.011683,25.122881,25.134563,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44754,127.0.0.1,20000,7,127.0.0.1:44754<->127.0.0.1:20000#s7,73,1784213759.3901262,25,18,0x0018,21,87,2,74,1784213759.4155061,17,0x0018,False,,,,,74,1784213759.4155061,17,83,0x0018,129,25.379896,,,25.379896,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44754,127.0.0.1,20000,7,127.0.0.1:44754<->127.0.0.1:20000#s7,75,1784213759.4155807,46,35,0x0018,24,90,20,76,1784213759.4408855,17,0x0018,False,,,,,76,1784213759.4408855,17,83,0x0018,129,25.304794,,,25.304794,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44754,127.0.0.1,20000,7,127.0.0.1:44754<->127.0.0.1:20000#s7,77,1784213759.4412193,70,52,0x0018,18,84,1,78,1784213759.4663355,2407,0x0018,False,,,,,78,1784213759.4663355,2407,2473,0x0018,129,25.116205,,,25.116205,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44754,127.0.0.1,20000,7,127.0.0.1:44754<->127.0.0.1:20000#s7,79,1784213759.4664044,88,2459,0x0018,15,81,0,80,1784213759.491775,1657,0x0018,False,,,,,80,1784213759.491775,1657,1723,0x0018,129,25.370598,,,25.370598,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44762,127.0.0.1,20000,9,127.0.0.1:44762<->127.0.0.1:20000#s9,90,1784213760.7103922,1,1,0x0018,24,90,20,91,1784213760.710404,0,0x0010,True,91,1784213760.710404,1,25,92,1784213760.73552,17,83,0x0018,129,0.011683,0.011683,25.115967,25.127649,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,44762,127.0.0.1,20000,9,127.0.0.1:44762<->127.0.0.1:20000#s9,94,1784213760.7355707,25,18,0x0018,21,87,2,95,1784213760.7609615,17,0x0018,False,,,,,95,1784213760.7609615,17,83,0x0018,129,25.390863,,,25.390863,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
