config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36750,127.0.0.1,20000,5,127.0.0.1:36750<->127.0.0.1:20000#s5,762,1784209942.281257,46,35,0x0018,24,90,20,763,1784209942.3042653,17,0x0018,False,,,,,763,1784209942.3042653,17,83,0x0018,129,23.008347,,,23.008347,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36750,127.0.0.1,20000,5,127.0.0.1:36750<->127.0.0.1:20000#s5,764,1784209942.3043401,70,52,0x0018,18,84,1,765,1784209942.328865,10,0x0018,False,,,,,789,1784209942.4966555,12,78,0x0018,,24.524927,,,192.31534,0,0,False,False,False,26,2026,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36750,127.0.0.1,20000,5,127.0.0.1:36750<->127.0.0.1:20000#s5,976,1784209943.7984028,88,2459,0x0018,15,81,0,977,1784209943.8200915,10,0x0018,False,,,,,1001,1784209943.9883938,12,78,0x0018,,21.6887,,,189.990997,0,0,False,False,False,26,2023,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36772,127.0.0.1,20000,7,127.0.0.1:36772<->127.0.0.1:20000#s7,1131,1784209946.0543895,1,1,0x0018,24,90,20,1132,1784209946.054402,0,0x0010,True,1132,1784209946.054402,1,25,1133,1784209946.0774596,17,83,0x0018,129,0.012636,0.012636,23.057461,23.070097,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36772,127.0.0.1,20000,7,127.0.0.1:36772<->127.0.0.1:20000#s7,1135,1784209946.0775294,25,18,0x0018,21,87,2,1136,1784209946.099383,17,0x0018,False,,,,,1136,1784209946.099383,17,83,0x0018,129,21.853685,,,21.853685,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36772,127.0.0.1,20000,7,127.0.0.1:36772<->127.0.0.1:20000#s7,1137,1784209946.099447,46,35,0x0018,24,90,20,1138,1784209946.1224575,17,0x0018,False,,,,,1138,1784209946.1224575,17,83,0x0018,129,23.010492,,,23.010492,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36772,127.0.0.1,20000,7,127.0.0.1:36772<->127.0.0.1:20000#s7,1139,1784209946.12253,70,52,0x0018,18,84,1,1140,1784209946.1470628,10,0x0018,False,,,,,1164,1784209946.3154018,12,78,0x0018,,24.532795,,,192.871809,0,0,False,False,False,26,2026,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36772,127.0.0.1,20000,7,127.0.0.1:36772<->127.0.0.1:20000#s7,1351,1784209947.6210005,88,2459,0x0018,15,81,0,1352,1784209947.6433618,10,0x0018,False,,,,,1376,1784209947.811095,12,78,0x0018,,22.361279,,,190.094471,0,0,False,False,False,26,2023,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52002,127.0.0.1,20000,9,127.0.0.1:52002<->127.0.0.1:20000#s9,1506,1784209949.8772855,1,1,0x0018,24,90,20,1507,1784209949.8772974,0,0x0010,True,1507,1784209949.8772974,1,25,1508,1784209949.9002986,17,83,0x0018,129,0.011921,0.011921,23.001194,23.013115,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,52002,127.0.0.1,20000,9,127.0.0.1:52002<->127.0.0.1:20000#s9,1510,1784209949.900366,25,18,0x0018,21,87,2,1511,1784209949.92183,17,0x0018,False,,,,,1511,1784209949.92183,17,83,0x0018,129,21.463871,,,21.463871,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
