config,n,combined,separate,other,separate_frac,separate_lo,separate_hi,nonfirst_n,nonfirst_separate,nonfirst_separate_frac,nonfirst_sep_lo,nonfirst_sep_hi,first_in_conn_separate,req_to_resp_med_ms,req_to_ack_med_ms,ack_to_resp_med_ms,retrans_rate,dup_ack_rate,reset_rate
delay_035ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,35.398125,0.011444,35.148382,0.0,0.0,0.0
delay_036ms,100,79,21,0,0.21,0.1417,0.2998,80,1,0.0125,0.0022,0.0675,20,36.293149,0.011683,36.113501,0.0,0.0,0.0
delay_037ms,100,74,26,0,0.26,0.184,0.3537,80,6,0.075,0.0348,0.1541,20,37.470698,0.011683,37.151814,0.0,0.0,0.0
delay_038ms,100,65,35,0,0.35,0.2636,0.4475,80,15,0.1875,0.1171,0.2866,20,38.412333,0.011206,38.153172,0.0,0.0,0.0
delay_039ms,100,42,58,0,0.58,0.4821,0.672,80,38,0.475,0.3692,0.583,20,39.30974,0.010968,39.227844,0.0,0.0,0.0
delay_040ms,100,0,100,0,1.0,0.963,1.0,80,80,1.0,0.9542,1.0,20,40.403724,0.012159,40.393472,0.0,0.0,0.0
