config,n,combined,separate,other,separate_frac,separate_lo,separate_hi,nonfirst_n,nonfirst_separate,nonfirst_separate_frac,nonfirst_sep_lo,nonfirst_sep_hi,first_in_conn_separate,req_to_resp_med_ms,req_to_ack_med_ms,ack_to_resp_med_ms,retrans_rate,dup_ack_rate,reset_rate
bounded20-30_crc-split,125,50,25,50,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,23.065567,0.011683,23.054123,0.0,0.0,0.0
bounded20-30_full,125,100,25,0,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,22.959948,0.011683,23.009062,0.0,0.0,0.0
fixed25_crc-split,125,50,25,50,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,25.406361,0.011444,25.15769,0.0,0.0,0.0
fixed25_full,125,100,25,0,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,25.326967,0.011683,25.121689,0.0,0.0,0.0
fixed300-rto105_bypass,125,100,25,0,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,0.654221,0.011683,0.670195,0.0,0.0,0.0
native_crc-split,125,50,25,50,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,0.754356,0.011683,0.742674,0.0,0.0,0.0
native_full,125,100,25,0,0.2,0.1393,0.2786,100,0,0.0,0.0,0.037,25,0.623465,0.011444,0.727892,0.0,0.0,0.0
