capture_id,ts,device,ack_mode,flow,transaction_id,direction,tcp_kind,dnp3_fc,role,response_to,is_read_request,is_read_response,is_direct_operate,is_direct_operate_response,is_select,is_select_confirm,is_operate,is_operate_confirm,is_app_confirm,is_response,response_fragment_index,app_fir,app_fin,app_con,wire_size,tcp_payload_size
SEL751.pcap,1561422351.59603,SEL751,separate,10.0.0.3:38527,8,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422351.599952,SEL751,separate,10.0.0.3:38527,8,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422351.61413,SEL751,separate,10.0.0.3:38527,8,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422351.614158,SEL751,separate,10.0.0.3:38527,8,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422353.596159,SEL751,separate,10.0.0.3:38527,9,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422353.60418,SEL751,separate,10.0.0.3:38527,9,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422353.619421,SEL751,separate,10.0.0.3:38527,9,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422353.61945,SEL751,separate,10.0.0.3:38527,9,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422355.596275,SEL751,separate,10.0.0.3:38527,10,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422355.608923,SEL751,separate,10.0.0.3:38527,10,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422355.619525,SEL751,separate,10.0.0.3:38527,10,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422355.619547,SEL751,separate,10.0.0.3:38527,10,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422357.596424,SEL751,separate,10.0.0.3:38527,11,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422357.601479,SEL751,separate,10.0.0.3:38527,11,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422357.61242,SEL751,separate,10.0.0.3:38527,11,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422357.612448,SEL751,separate,10.0.0.3:38527,11,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422359.596566,SEL751,separate,10.0.0.3:38527,12,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422359.600142,SEL751,separate,10.0.0.3:38527,12,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422359.613971,SEL751,separate,10.0.0.3:38527,12,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422359.614,SEL751,separate,10.0.0.3:38527,12,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422361.596737,SEL751,separate,10.0.0.3:38527,13,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422361.600443,SEL751,separate,10.0.0.3:38527,13,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422361.613724,SEL751,separate,10.0.0.3:38527,13,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422361.613748,SEL751,separate,10.0.0.3:38527,13,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422363.596911,SEL751,separate,10.0.0.3:38527,14,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422363.600971,SEL751,separate,10.0.0.3:38527,14,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422363.613303,SEL751,separate,10.0.0.3:38527,14,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422363.613332,SEL751,separate,10.0.0.3:38527,14,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422365.597078,SEL751,separate,10.0.0.3:38527,15,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422365.601273,SEL751,separate,10.0.0.3:38527,15,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422365.611885,SEL751,separate,10.0.0.3:38527,15,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422365.611915,SEL751,separate,10.0.0.3:38527,15,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422367.59725,SEL751,separate,10.0.0.3:38527,16,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422367.601077,SEL751,separate,10.0.0.3:38527,16,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422367.612562,SEL751,separate,10.0.0.3:38527,16,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422367.612589,SEL751,separate,10.0.0.3:38527,16,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422369.597418,SEL751,separate,10.0.0.3:38527,17,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422369.601305,SEL751,separate,10.0.0.3:38527,17,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422369.616259,SEL751,separate,10.0.0.3:38527,17,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422369.616289,SEL751,separate,10.0.0.3:38527,17,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422371.597558,SEL751,separate,10.0.0.3:38527,18,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422371.60181,SEL751,separate,10.0.0.3:38527,18,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422371.612715,SEL751,separate,10.0.0.3:38527,18,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422371.612742,SEL751,separate,10.0.0.3:38527,18,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422373.597724,SEL751,separate,10.0.0.3:38527,19,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422373.602487,SEL751,separate,10.0.0.3:38527,19,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422373.619262,SEL751,separate,10.0.0.3:38527,19,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422373.61929,SEL751,separate,10.0.0.3:38527,19,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
