group,device,capture_kind,outstation_ip,total,combined_pct,separate_pct,other_pct,metric,unit,n,mean,mean_ci_lo,mean_ci_hi,median,median_ci_lo,median_ci_hi,std,cv,p5,p95,p99,max
ION7550|base,ION7550,base,10.0.0.11,799,100.0,0.0,0.0,req_to_resp_ms,ms,799,16.474322,16.396461,16.554128,16.055107,16.02602,16.086102,1.157988,0.07029,15.592957,19.190168,20.275917,21.485806
ION7550|base,ION7550,base,10.0.0.11,799,100.0,0.0,0.0,req_tcp_len,bytes,799,28.508135,28.036295,28.963705,35.0,22.0,35.0,6.499995,0.228005,22.0,35.0,35.0,35.0
ION7550|base,ION7550,base,10.0.0.11,799,100.0,0.0,0.0,resp_tcp_len,bytes,799,48.984981,48.14393,49.85607,37.0,37.0,61.0,11.999991,0.244973,37.0,61.0,61.0,61.0
ION7550|base,ION7550,base,10.0.0.11,799,100.0,0.0,0.0,packet_count,count,799,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
ION7550|base,ION7550,base,10.0.0.11,799,100.0,0.0,0.0,transaction_ip_bytes,bytes,799,185.493116,185.107635,185.892365,180.0,180.0,191.0,5.499996,0.029651,180.0,191.0,191.0,191.0
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,req_to_first_rev_ms,ms,3999,3.94647,3.917904,3.976934,3.673077,3.657097,3.691912,0.95216,0.241269,3.31893,5.037809,7.859831,17.126083
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,req_to_pure_ack_ms,ms,3999,3.94647,3.917904,3.976934,3.673077,3.657097,3.691912,0.95216,0.241269,3.31893,5.037809,7.859831,17.126083
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,pure_ack_to_resp_ms,ms,3999,13.366148,13.179185,13.55673,12.177944,12.10618,12.233019,6.224142,0.465665,11.050845,17.176223,24.96397,160.713911
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,req_to_resp_ms,ms,3999,17.312618,17.119913,17.511946,16.103983,16.077995,16.129995,6.244744,0.360705,15.065169,21.05484,29.221096,164.315939
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,req_tcp_len,bytes,3999,28.501625,28.306495,28.709677,35.0,22.0,35.0,6.5,0.228057,22.0,35.0,35.0,35.0
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,resp_tcp_len,bytes,3999,45.497874,45.225806,45.753045,37.0,37.0,54.0,8.5,0.186822,37.0,54.0,54.0,54.0
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,packet_count,count,3999,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
SEL751|L,SEL751,L,10.0.0.1,3999,0.0,100.0,0.0,transaction_ip_bytes,bytes,3999,271.9995,271.935484,272.05954,270.0,270.0,274.0,2.0,0.007353,270.0,274.0,274.0,274.0
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,req_to_first_rev_ms,ms,299,4.008377,3.908298,4.122508,3.695011,3.654003,3.76606,0.936897,0.233735,3.354883,5.094409,7.961302,12.647867
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,req_to_pure_ack_ms,ms,299,4.008377,3.908298,4.122508,3.695011,3.654003,3.76606,0.936897,0.233735,3.354883,5.094409,7.961302,12.647867
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,pure_ack_to_resp_ms,ms,299,14.56385,13.444625,15.980052,12.897968,12.629986,13.329983,11.499204,0.789572,11.304593,16.546369,32.178178,165.979862
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,req_to_resp_ms,ms,299,18.572227,17.453167,20.028548,16.98494,16.567945,17.306089,11.551085,0.621955,15.203022,21.54541,35.845733,170.801878
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,req_tcp_len,bytes,299,30.695652,29.998913,31.391304,35.0,35.0,35.0,6.117934,0.199309,22.0,35.0,35.0,35.0
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,resp_tcp_len,bytes,299,42.628763,41.719064,43.539883,37.0,37.0,37.0,8.000375,0.187676,37.0,54.0,54.0,54.0
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,packet_count,count,299,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
SEL751|base,SEL751,base,10.0.0.1,299,0.0,100.0,0.0,transaction_ip_bytes,bytes,299,271.324415,271.110368,271.538796,270.0,270.0,270.0,1.882441,0.006938,270.0,274.0,274.0,274.0
