profile,native_userdata_bytes,native_dnp3_link_bytes,n_cover_frames,cover_dnp3_link_bytes,final_dnp3_link_bytes_COMPUTED,final_tcp_payload_bytes_EQUAL_BY_CONSTRUCTION,final_ip_bytes_COMPUTED_1seg,final_eth_bytes_COMPUTED_1seg
profile_1_READ_class1,6,18,1,45,63,63,83,97
profile_2_OPERATE_2CROB,31,45,1,18,63,63,83,97
