row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,0.019,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,0.02,True,True,False,unknown,,,
raw,baseline,default,default,0,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,0.019,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,1.081,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,1.084,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,1.104,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,1.113,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,1.112,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,1.115,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,1.12,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,1.112,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,1.112,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,1.097,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,1.089,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,1.086,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,1.085,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,1.086,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,1.112,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,1.157,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,1.114,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,1.099,True,True,False,unknown,,,
raw,baseline,default,default,1,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,1.1,True,True,False,unknown,,,
