row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,25.681,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,25.672,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,25.724,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,25.621,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,25.721,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,25.654,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,25.698,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,25.638,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,25.557,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,25.686,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,25.692,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,25.607,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,25.588,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,25.616,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,20,25.657,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,21,25.608,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,22,25.635,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,23,25.696,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,24,25.727,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,25,25.622,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,26,25.744,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,27,25.646,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,28,25.642,True,True,False,unknown,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,29,25.692,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,30.718,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,30.652,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,30.613,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,30.713,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,30.642,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,30.693,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,30.641,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,30.688,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,30.64,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,30.64,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,30.624,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,30.64,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,30.701,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,30.748,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,30.69,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,30.64,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,16,30.63,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,17,30.594,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,18,30.693,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,19,30.592,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,20,30.617,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,21,30.715,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,22,30.64,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,23,30.709,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,24,30.64,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,25,30.594,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,26,30.612,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,27,30.667,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,28,30.684,True,True,False,unknown,,,
raw,baseline,default,default,30,,,,,,,,,,,,,,undetermined-needs-privileged-capture,29,30.706,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,35.649,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,1,35.628,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,2,35.694,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,3,35.706,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,4,35.681,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,5,35.628,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,6,35.71,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,7,35.71,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,8,35.64,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,9,35.709,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,10,35.656,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,11,35.638,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,12,35.628,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,13,35.694,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,14,35.696,True,True,False,unknown,,,
raw,baseline,default,default,35,,,,,,,,,,,,,,undetermined-needs-privileged-capture,15,35.728,True,True,False,unknown,,,
