# boundary-index CROB experiment; config: OpenDNP3 rig 10.10.54.19(master)/10.10.54.158(outstation); software-only; NOT a universal DNP3 result
case_name,configured_points,sent_crobs,master_exit,master_task_completion,outstation_select_seen,outstation_select_success,outstation_operate_seen,outstation_operate_success,outstation_rejected_indexes,outstation_final_state_matches_expected,analyzer_pass,analyzer_classification,first_rejected_index,first_rejected_status_name,operate_sent,pcap_path,analyzer_json,outstation_json,master_json,note
valid_k5_n5,5,5,0,SUCCESS,5,5,5,5,[],True,True,all_success,,,True,captures/boundary/crob_boundary_valid_k5_n5.pcapng,reports/boundary/analyze_valid_k5_n5.json,logs/outstation/multicrob_boundary_valid_k5_n5.json,logs/master/multicrob_master_boundary_valid_k5_n5.json,baseline: all 5 indexes exist -> expect all SUCCESS + OPERATE
invalid_k5_n6,5,6,0,SUCCESS,6,5,0,0,[5],False,True,invalid_index_rejected_during_select_no_operate,5,OUT_OF_RANGE,False,captures/boundary/crob_boundary_invalid_k5_n6.pcapng,reports/boundary/analyze_invalid_k5_n6.json,logs/outstation/multicrob_boundary_invalid_k5_n6.json,logs/master/multicrob_master_boundary_invalid_k5_n6.json,boundary: index 5 does not exist -> characterise rejection + whether OPERATE fires
