arm,median_ms,n,panel,q1_ms,q3_ms,run,txn_class
Obfuscated,4.000187,120,b,3.998041,4.003048,s06,SELECT
Obfuscated,3.999949,120,b,3.997028,4.003048,s07,SELECT
Obfuscated,3.998995,120,b,3.996134,4.00281,s08,SELECT
Obfuscated,4.000902,120,b,3.998041,4.003227,s09,SELECT
Obfuscated,3.999949,120,b,3.997982,4.003048,s10,SELECT
Obfuscated,3.999949,120,b,3.996849,4.002094,s11,SELECT
Obfuscated,4.000545,120,b,3.998041,4.004002,s12,SELECT
Obfuscated,3.998995,120,b,3.997087,4.001856,s13,SELECT
Obfuscated,4.001141,120,b,3.998041,4.004002,s14,SELECT
Obfuscated,3.999949,120,b,3.997087,4.003286,s15,SELECT
Obfuscated,4.000902,120,b,3.998041,4.004002,s16,SELECT
Obfuscated,3.999949,120,b,3.996134,4.003048,s17,SELECT
Obfuscated,4.001022,120,b,3.998041,4.004002,s18,SELECT
Obfuscated,4.000902,120,b,3.998995,4.004002,s19,SELECT
Obfuscated,4.000068,120,b,3.997087,4.004002,s20,SELECT
Obfuscated,3.999949,120,b,3.997028,4.003048,s21,SELECT
Obfuscated,4.000902,120,b,3.997087,4.004002,s22,SELECT
Obfuscated,3.999949,120,b,3.996074,4.002094,s01,OPERATE
Obfuscated,3.999949,120,b,3.997087,4.002094,s02,OPERATE
Obfuscated,3.999949,120,b,3.998041,4.002094,s03,OPERATE
Obfuscated,3.999949,120,b,3.998041,4.00287,s04,OPERATE
Obfuscated,3.999472,120,b,3.99667,4.002094,s05,OPERATE
Obfuscated,4.000187,120,b,3.998041,4.004002,s06,OPERATE
Obfuscated,4.000187,120,b,3.996849,4.003048,s07,OPERATE
Obfuscated,3.999949,120,b,3.996074,4.001856,s08,OPERATE
Obfuscated,3.999949,120,b,3.997087,4.002094,s09,OPERATE
Obfuscated,3.999949,120,b,3.997087,4.003048,s10,OPERATE
Obfuscated,3.999949,120,b,3.997028,4.003048,s11,OPERATE
Obfuscated,3.999949,120,b,3.997028,4.003048,s12,OPERATE
Obfuscated,4.000902,120,b,3.997624,4.004002,s13,OPERATE
Obfuscated,3.999949,120,b,3.996849,4.00287,s14,OPERATE
Obfuscated,3.999949,120,b,3.99667,4.001856,s15,OPERATE
Obfuscated,3.998995,120,b,3.996134,4.002094,s16,OPERATE
Obfuscated,4.000187,120,b,3.998041,4.004002,s17,OPERATE
Obfuscated,3.999949,120,b,3.997803,4.00281,s18,OPERATE
Obfuscated,3.999949,120,b,3.996849,4.001915,s19,OPERATE
Obfuscated,3.999949,120,b,3.997624,4.003048,s20,OPERATE
Obfuscated,3.999591,120,b,3.997624,4.002094,s21,OPERATE
Obfuscated,3.998995,120,b,3.996134,4.001856,s22,OPERATE
