Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 10
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   8   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3156             |
|   8   |   [ 7, 10 ]     |                           cond-108                           |
|   8   |   [ 7, 10 ]     |                           cond-114                           |
|   8   |   [ 7, 10 ]     |                           cond-120                           |
|   8   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3348             |
|   8   |   [ 7, 10 ]     |                         tbl_to_hold                          |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3516             |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3558             |
|   9   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3242             |
|   9   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3176             |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3185             |
|   9   |   [ 7, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3354             |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3562             |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3520             |
|   9   |   [ 8, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3194             |
|   9   |   [ 8, 11 ]     |                      tbl_to_resp_block                       |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3189             |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3526             |
|   9   |   [ 8, 11 ]     |                     tbl_to_resp_block_0                      |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3524             |
|   9   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3569             |
|   9   |   [ 8, 11 ]     |                        tbl_to_block_1                        |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3567             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3363             |
|  10   |   [ 8, 11 ]     |                         tbl_to_block                         |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3180             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3370             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3555             |
|  10   |   [ 7, 11 ]     |                        tbl_to_block_0                        |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3553             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3208             |
|  10   |   [ 8, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3211             |
|  10   |   [ 7, 11 ]     |                           cond-124                           |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3428             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3451             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3455             |
|  10   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3434             |
|  10   |   [ 7, 11 ]     |                       tbl_arm_clone_0                        |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3436             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3444             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3401             |
|  11   |   [ 7, 11 ]     |                        tbl_arm_clone                         |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3393             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3413             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3419             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3279             |
|  11   |   [ 7, 11 ]     |                       tbl_to_resp_hold                       |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3329             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3340             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3339             |
|  11   |   [ 7, 11 ]     |            tbl_defense4_twopipe_pipe0_probe3339_0            |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3294             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3295             |
|  11   |   [ 7, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3587             |
|  12   |   [ 7, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3637             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3617             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3618             |
|  12   |   [ 7, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3614             |
|  12   |   [ 7, 11 ]*    |            tbl_defense4_twopipe_pipe0_probe3614_0            |
|  12   |   [ 7, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3597             |
|  12   |   [ 7, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3599             |
|  12   |   [ 9, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3647             |
|  12   |   [ 8, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3646             |
|  12   |   [ 9, 11 ]*    |             tbl_defense4_twopipe_pipe0_probe3645             |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 2 time(s), state = NOCC_TRY1
Number of stages in table allocation: 12
  Number of stages for ingress table allocation: 12
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 10
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 2 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 3 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 3 ]     |                           cond-83                            |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2925             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2931             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2942             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2911             |
|   0   |   [ 0, 10 ]     |                           cond-151                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3832             |
|   0   |   [ 0, 10 ]     |                           cond-153                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3843             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3849             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3852             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3838             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2841             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2913             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2916             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2919             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2978             |
|   1   |    [ 0, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2845             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2976             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2977             |
|   1   |    [ 0, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2851             |
|   1   |    [ 0, 5 ]     |                    Ingress.tbl_bor_params                    |
|   1   |   [ 1, 10 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |             tbl_defense4_twopipe_pipe0_probe2854             |
|   1   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3144             |
|   1   |   [ 0, 11 ]     |                 Ingress.tbl_build_bor_cands                  |
|   1   |   [ 0, 11 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2980             |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2982             |
|   2   |    [ 2, 4 ]     |                           cond-91                            |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2955             |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2957             |
|   2   |   [ 2, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2960             |
|   2   |    [ 1, 5 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3648             |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3857             |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 3, 5 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 2, 6 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 6 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 6 ]     |                     Ingress.tbl_arm_fold                     |
|   4   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe2999             |
|   4   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3003             |
|   4   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3009             |
|   4   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3025             |
|   4   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3020             |
|   4   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3022             |
|   5   |    [ 5, 7 ]     |                   Ingress.tbl_state_decode                   |
|   5   |    [ 5, 7 ]     |                    Ingress.tbl_txn_active                    |
